
--- [Section 1] (Source: 330533-1.json) ---
？？？: 「くみちゃん！伏せて！」
友杞 ゆみ: ありがとうございます…！
みふゆ: …………\n…夢が、あるんですね…
牧野 郁美: みふゆさん…？
みふゆ: ワタシがあなたたちに\nしようと思っている話は…
みふゆ: おそらく…おふたりにとって\n苦しいものです
みふゆ: ですが…いずれは\n知ることになる真実でもある
みふゆ: ドッペルを知ったあなた方には\nお話するべきだとも思っています
友杞 ゆみ: ドッペル…？
牧野 郁美: あ、ゆみは気を失ってたから…
みふゆ: …真実を知りたいなら\n改めてご説明しましょう
みふゆ: ただ、この真実は\nとても残酷なものです
みふゆ: もし、聞きたくないと言うのなら\nムリに話すことはしません
牧野 郁美: …………
牧野 郁美: （聞きたくない…）
牧野 郁美: （でも…でも、きっと\n聞かないと後悔する…）
牧野 郁美: 私は…聞きたいです
友杞 ゆみ: …あたしも\nだって、関係あるんですよね？
みふゆ: はい\n魔法少女にとって重要なことです
牧野 郁美: あ、いえ…私たちにというより
牧野 郁美: 私たちの夢に\nって言いたいんだと思います
みふゆ: そうですね…\n夢にも、将来にも関係あります
牧野 郁美: それなら、なおさら聞きたいです
友杞 ゆみ: です
みふゆ: …場所を変えましょうか
みふゆ: みたまさん、ワタシたちはこれで\n失礼します
みたま: は～い、また来てねぇ～
牧野 郁美: 調整屋を出て\n河川敷に来た私たちは…
牧野 郁美: 魔女化について教えられ\nその宿命から逃れるために動いている\nマギウスの翼についても教えられた
牧野 郁美: 魔女化\nその宿命を教えられた私は…
牧野 郁美: …………
みふゆ: マギウスの翼に入るかどうか…\nすぐに決めろ、とは言いません
みふゆ: 今日は疲れているでしょうし\n家に帰ってからゆっくり…
牧野 郁美: 入ります
みふゆ: えっ…
牧野 郁美: 私は、マギウスの翼に入ります
牧野 郁美: すぐに答えを出せた

--- [Section 4] (Source: 330533-4.json) ---
牧野 郁美: 私は、マギウスの翼に入ります
牧野 郁美: マギウスの翼に入るかどうか…\n私は、その答えをすぐに出せた
牧野 郁美: ゆみに対して負い目が全くなかった\nって言ったらウソになる
牧野 郁美: でも、そうじゃなくて…
牧野 郁美: ただ私は、願いで近づいた夢が\n魔法少女になったことで\n消えることが許せなかった
牧野 郁美: 絶望の果て\n呪いをばらまくなんてこともしたくない
牧野 郁美: こんな宿命…\n運命を黙って受け入れるなんてできなかった
みふゆ: …本当にいいんですか？\n大切なことですよ？
牧野 郁美: はい、わかっています\nそれでも、私は解放を望みます
牧野 郁美: それに…みふゆさんは\n誠実に対応してくれました
牧野 郁美: あなたが解放されると信じるなら\nその方法は信じられます
みふゆ: …………
みふゆ: わかりました\n歓迎します
友杞 ゆみ: …………あたしは…
牧野 郁美: どうしていいかわからないなら\nよく考えた方がいいよ
友杞 ゆみ: …うん
牧野 郁美: この時、ゆみは迷っていたみたいだけど\n後日、マギウスの翼へ入ることに決めたみたい
牧野 郁美: ただ…\nマギウスが解放してくれるなら\nっていう理由みたいだから\n私は心配しているけれど…
牧野 郁美: …正直\n私は、みふゆさんは信じられても\nマギウスの人たちは信用できないと思ってるの…
牧野 郁美: その実力は確かだけど…
牧野 郁美: あっ！これは内緒だよ？
みふゆ: 彼女たちがあなたに\n率いてもらう黒羽根になります
観鳥 令: …はい
牧野 郁美: （…ん？…見られてる？\nん？んん～…！）
牧野 郁美: あっ！
牧野 郁美: 後はもう知っての通り
牧野 郁美: マギウスの翼に入り\n本部付きの黒羽根になった私は\nそこで令ちゃんと再会した
牧野 郁美: そんな感じかな…
観鳥 令: …なるほどね
牧野 郁美: 私は、絶対未来を取り戻すよ\nそれで夢を叶えるの
観鳥 令: うんうん\n目標があるのはいいことだよ
観鳥 令: ただ…
牧野 郁美: ただ？
観鳥 令: ぶりっ子キャラで通したいならさ
観鳥 令: すぐ素に戻っちゃうの、\nなんとかした方がいいかもね
牧野 郁美: ――っ!?
牧野 郁美: ふ、ふえぇええん！\nす、素とかないからっ！
牧野 郁美: くみはいつだってくみなのぉ～！\nこれが、素なんだよぉっ！
観鳥 令: …………
牧野 郁美: …………りょ、令ちゃん\n何か言ってぇ？
牧野 郁美: くみ、反応ないのがぁ…\n一番寂しい…しくしくだよぉ～？
観鳥 令: …根が真面目なところ\n観鳥さんは悪くないと思うけどね
牧野 郁美: …………
牧野 郁美: は、反応に困るのはぁ…\nなしだよぉ～！もうっ！
観鳥 令: あっははっ！
牧野 郁美: ぐすんっぐすんっ…\nくみ、またからかわれたぁ～…\n
観鳥 令: さて、と話し込んじゃったね\nそろそろ帰るかな
牧野 郁美: わぁ～もうこんな時間だよぉ～\n遅れたらぷんぷんされちゃうっ！
牧野 郁美: あっ…ねぇ、令ちゃん？
観鳥 令: ん？
牧野 郁美: 頑張ろうね
観鳥 令: …………
観鳥 令: もちろん
観鳥 令: じゃあ、またね\n牧野チャン
牧野 郁美: うんっ！\nまた明日ねぇ～、令ちゃん！
旁白: カラン　カラン
牧野 郁美: お帰りなさいませぇ～\nご主人様っ♪
旁白: ただいま、いっくみん\n今日もキュンキュンに可愛いね
牧野 郁美: きゃぁあああんっ！\nくみ、嬉しいですぅ～
牧野 郁美: ―郁美―\nくみとゆみの夢…
牧野 郁美: ―郁美―\nアイドルになること\nバレー選手になること
牧野 郁美: ―郁美―\n交換した夢はいつしか\n自分にとっても大切なものになっていた
牧野 郁美: ―郁美―\nその夢を阻むものは\nなんだって許せない…
牧野 郁美: ―郁美―\nどんな道だって乗り越えて\n必ずつかみ取ってみせる
牧野 郁美: ―郁美―\n未来を、夢をつかむためなら\nどんな痛みだって超えていけるから
牧野 郁美: （諦めないよ…）
牧野 郁美: （魔女になって\n呪いをばらまくなんて…）
牧野 郁美: （くみはしたくない）
旁白: メイド長！\nサンドイッチと紅茶お願いします
牧野 郁美: はーいっ！\nくみにぃ、任せてぇ～♪
牧野 郁美: （だってぇ…\nくみがばらまくのは…）
牧野 郁美: お待たせしましたぁ～！
牧野 郁美: くみの愛情がぁ～\nたぁーっぷり入ってま～すぅ♪
牧野 郁美: （いつだってぇ\nキュンキュンの笑顔っ♪）
牧野 郁美: （なんだからぁ～！）
牧野 郁美: ２度も繋いだ夢のために\n縋るしかなかったの
