
--- [Section 1] (Source: 101806-1_CBbvi.json) ---
旁白: ―荣区―
伊势崎隼人: 我听说了哦，江利同学。
伊势崎隼人: 你挺身保护了\n粟根同学和加贺见同学？
江利爱实: 称、称不上保护啦……
伊势崎隼人: 我很喜欢如此正直的你……
江利爱实: 真的吗……伊势崎同学……
江利爱实: 不，应该叫你隼人！
桃子: 喂、喂……
江利爱实: …………
江利爱实: 好，妄想差不多可以结束了！\n我们去帮忙吧！
桃子: 妄、妄想？
江利爱实: 啊，别在意。\n是我在自言自语啦，哈哈哈。

--- [Section 3] (Source: 101806-3_CBbvi.json) ---
桃子: 喂，没事吧！
加贺见真良: 你是……
江利爱实: 真良！
加贺见真良: 爱实……
江利爱实: 和刚才的那些人一样……
粟根心: …………
江利爱实: 心！？
江利爱实: 是她们……干的吗？
加贺见真良: 嗯。
江利爱实: 不可原谅！
黑翼: 呜呜呜……
桃子: 不管哪个都是这个样子……
桃子: 这些羽翼\n人格都崩坏了吗？
桃子: 不过比起担心敌人，\n还是先把她们打倒吧……
桃子: 我的魔力所剩不多了，\n可能出不了多少力……
桃子: 不过我还是会帮忙的。
加贺见真良: 嗯。

--- [Section 4] (Source: 101806-4_CBbvi.json) ---
加贺见真良: 谢谢。
加贺见真良: 感谢你出手相助。
桃子: 不客气。
桃子: 毕竟我刚刚也受到了别人的帮助。
加贺见真良: 这样啊。
桃子: 你这眼神是什么意思啊……
加贺见真良: 你们好像从以前开始\n就和她们存在一些竞争。
桃子: 你想说什么？
加贺见真良: 我不明白我们为什么会被卷进来。
加贺见真良: 所以我在想会不会是因为你。
江利爱实: 真、真良！
桃子: 你这么说，\n我确实没有什么可反驳的……
桃子: 但就算真是这样……
桃子: 你直接把矛头指向我们\n未免也太不讲道理了。
桃子: 如果你一定要与我们为敌……
桃子: 也起码先听一下我们的解释。
加贺见真良: 不过就算听了解释……\n说不定也会被当作是借口。
加贺见真良: 所以解释有什么意义吗？
桃子: 那不如就去调整专家那儿吧。
桃子: 调整专家可是中立的魔法少女，\n她说的话你总能相信了吧？
加贺见真良: 也对。
加贺见真良: 比起听你的解释，\n还是她说的话更可信。
加贺见真良: 目前看来这已经是最好的解决方法了。
桃子: 那大家一起去吧。
粟根心: 我……谢、谢……
加贺见真良: 我也要谢谢你。
桃子: 只是碰巧在路上狩猎了几个魔女而已。
桃子: 不过就算是回复了，\n伤势看起来也还是很严重啊……
桃子: 走路应该也很困难……
粟根心: 对不起……
桃子: 不用在意，我来背你过去。
加贺见真良: 不，还是我来吧。
桃子: 嗯，那就拜托你了。
桃子: （姑且也联络一下玲奈吧。）
桃子: ……什么！？
江利爱实: 怎么了？
桃子: 不在服务区内……
江利爱实: 怎么会这样！？
江利爱实: 我还没告诉他们\n我不能去卡拉OK了呢！！

--- [Section 5] (Source: 101806-5_a7FVS.json) ---
玲奈: 桃子，\n和那个叫衣美里的孩子说的一样。
玲奈: 这附近有很多人。
桃子: 是啊……而且还在同一个方向……
真尾日美香: 但是十七夜她们\n真的在直升机坪那里吗？
真尾日美香: 我试着探知了一下，\n但结果太乱了……
枫: 是啊……\n只知道那里大概有多少人……
都雏乃: 那个自称最强的人和佣兵\n去了那边之后就没回来了。
都雏乃: 看来情况很糟糕啊。
玲奈: 是啊……
枫: 而且羽翼们也在往那里赶。
桃子: 不过可以确定的是，\n那里一定发生了什么事！
桃子: 一定要等我啊，八千代！
