
--- [Section 1] (Source: 335031-1.json) ---
みんな: いただきます！
遊佐 葉月: あやめに対して過保護なのは\nいまに始まったことじゃないけど
遊佐 葉月: そろそろ適切な距離感を\n覚えるのも必要だと思うよ…？
静海 このは: …………
遊佐 葉月: いますぐにとは\n言わないけどさぁ…
遊佐 葉月: あやめも中学生だし…\n自立したくなる頃だよ
静海 このは: ……………\n……………
遊佐 葉月: （あー、これは\n聞き入れてもらえないかなぁ…）
静海 このは: …わかってるわ
遊佐 葉月: …ん？
静海 このは: 自分でもわかってるの…
遊佐 葉月: …………

--- [Section 2] (Source: 335031-2.json) ---
静海 このは: 自分でもわかってるの…
遊佐 葉月: …………
静海 このは: あやめに干渉し過ぎてるって\nわかってるわ…
静海 このは: ―このは―\n院長先生からこのネックレスを\nもらった時のこと覚えてる？
遊佐 葉月: ―葉月―\n覚えてるよ
遊佐 葉月: ―葉月―\n院長先生が、アタシとこのは\nあやめにおそろいで作ってくれた
静海 このは: ―このは―\nそう…
静海 このは: ―このは―\nあやめのことを任されて
静海 このは: ―このは―\nおそろいのネックレスを\nもらった時に思ったの…
静海 このは: ―このは―\n一番お姉さんの私が\nふたりを守らなきゃって…
静海 このは: ―このは―\n大切な家族だと思えたから…
遊佐 葉月: …………
静海 このは: でもね、心配するのと\n干渉し過ぎるのが別なのは
静海 このは: 私もわかってる…
遊佐 葉月: …うん\n正直言うと…
遊佐 葉月: いまのこのはって\n子離れできない親だよね
静海 このは: うっ…
静海 このは: …自覚はあったけど\n言葉にされると痛いわね…
遊佐 葉月: 自覚があってよかった
静海 このは: …“あやめ断ち”しなきゃ\nっていう気持ちもあるのよ…
静海 このは: …踏み切れないだけで
遊佐 葉月: …………
遊佐 葉月: このはってさ…\n趣味ないよね
静海 このは: えっ…趣味？\nどうして、いま？
遊佐 葉月: アタシが思うに…
遊佐 葉月: このはってあやめに\n比重を置きすぎなんだよ
遊佐 葉月: あやめのことばっかりだから
遊佐 葉月: ちょっとしたことでも\n気をもんじゃうんじゃない？
静海 このは: …確かに
遊佐 葉月: だから、趣味とか好きなこととか\n熱中できるものを他に見つければ
遊佐 葉月: 少しは落ち着くかもね
静海 このは: …なるほど
静海 このは: 興味の先を分散させるのは\nいい考えかもしれないわね
遊佐 葉月: おっ！\n何やってみたい？
静海 このは: …買い物の時に\nポイントを大量に集める
静海 このは: 投資の勉強ももっとしないとね\nお金があるに越したことはないし
遊佐 葉月: …いや、そういう\n生活のためのものじゃなくて
遊佐 葉月: ただ楽しみたいことだよ
静海 このは: えぇ…？\nそう言われても…
遊佐 葉月: 思い浮かばない？
静海 このは: 思い浮かばないわね…
遊佐 葉月: 別になんでもいいんだけど…
静海 このは: 興味のないことに\nお金をかけたくはないし…
遊佐 葉月: じゃあさ\n一緒にお散歩とかどう？
静海 このは: お散歩…？
遊佐 葉月: お手軽に始められて\nお金もかからないよ
静海 このは: うーん…
遊佐 葉月: アタシさ、頑張って早朝のお散歩\nはじめようと思ってたんだよね
遊佐 葉月: アタシに付き合うつもりで\nねっ、どうかな？
静海 このは: …それなら\nやってみようかしら…
遊佐 葉月: よしっ！
遊佐 葉月: じゃあ、明日の朝\n学校に行く前にちょっと歩こう！

--- [Section 3] (Source: 335031-3.json) ---
遊佐 葉月: んん～\nいい朝だねー
静海 このは: …お散歩はいいけど\nどこに行くかは決めてるの？
遊佐 葉月: 決めてないよ
静海 このは: えっ？\n目的もなく歩くの？
遊佐 葉月: うん
静海 このは: 全然、なんの目的もなく？
遊佐 葉月: うん
静海 このは: …………
遊佐 葉月: まぁ、しいて言うなら\nあやめが起きる前に帰る、かな？
静海 このは: うそでしょ…？\nそれになんの意味があるの？
遊佐 葉月: 息抜きに意味なんてないよ\n難しく考えなくてオッケー！
遊佐 葉月: さぁ、行くよー
静海 このは: …………
静海 このは: …この道って\nここに繋がっていたのね
遊佐 葉月: 知らなかったでしょ？
静海 このは: ええ…
静海 このは: ん？あのお店は…\nおもちゃ屋さん？
遊佐 葉月: みたいだね…\nアタシも知らなかったなぁ
静海 このは: あやめに教えたら喜ぶかしら？
遊佐 葉月: まぁ、喜ぶだろうね…
静海 このは: あっ…
静海 このは: （ついあやめのことを…）
遊佐 葉月: ねぇ、自販機で\nジュース買って一休みしない？
静海 このは: いいわね
静海 このは: （流してくれた…）
静海 このは: （あやめは喜びそうだけど\n私にはちょっと甘過ぎるかも）
静海 このは: （って、またあやめのことを\n考えてる…）
遊佐 葉月: うわっ、すっぱい！
静海 このは: …ジュース、交換する？
遊佐 葉月: いいの？\nやった！
このは＆葉月: んっ…！
静海 このは: ホントすっぱい…！
遊佐 葉月: こっちは甘々だ…！
このは＆葉月: …………
このは＆葉月: ふふっ…
静海 このは: すっぱいってわかってて\n買ったんでしょ？
遊佐 葉月: 疲れた時にはすっぱいものがいい\nっていうからさ
遊佐 葉月: ちょっとすっぱ過ぎたけど…
遊佐 葉月: このはだって、甘いって\nわかってて買ったんでしょ？
静海 このは: 疲れた時は、甘いものがいい\nっていうもの
遊佐 葉月: あははっ、\n同じこと考えてる
静海 このは: …ん？\n何かしら、コレ？
遊佐 葉月: なんだろう…\nどんぐりと…なんかの木の実？
静海 このは: いまって時期じゃないわよね？\n子どもが置いて行ったのかしら？
遊佐 葉月: キレイに並んでるしそうかも\nおもしろいものみつけたね
静海 このは: …ふふ、確かに予想外なものを\nみつけるのは楽しいかも
静海 このは: あやめが\n色々拾ってくる気持ちが…
静海 このは: …なんでもない
静海 このは: （またやっちゃった…）
遊佐 葉月: ごちそうさまでした\nそれっ！
旁白: カランッ！
遊佐 葉月: ナイスシュート！
静海 このは: ちょっと…ごみ箱に\n投げ入れるなんて行儀が悪いわよ
遊佐 葉月: でも、上手に入ったでしょ？
遊佐 葉月: 飲み終わったらやってみなよ\n結構難しいから
静海 このは: …………
旁白: カンッ…ポト…
静海 このは: （外れた…）
遊佐 葉月: 惜しかったね\n外れたら拾って捨てるっと…
旁白: カラン…
静海 このは: …………ふふっ
静海 このは: （なんだか、\n普通の女子高生になったみたい）
静海 このは: （…ずっと生きるのに必死で\nこういう時間ってなかったもの）
静海 このは: （歩いている人、日光浴してる人\n運動している人、読書してる人）
静海 このは: （趣味を楽しむ人の日常\n私が目を向けなかったもの…）
静海 このは: …葉月\n連れ出してくれてありがとう
静海 このは: 最初は、意味もなく\n歩き回ることに抵抗があったけど
静海 このは: いまは新鮮に感じる…
遊佐 葉月: それはよかった
静海 このは: （結局私って、狭い世界に\n閉じこもってばかりなのよね）
静海 このは: （慣れた世界に安心して\n外の世界に触れようとしない）
静海 このは: （もっと外の世界に\n触れてみるべきなのかも…）
遊佐 葉月: 明日、休みだし\nハイキング行ってみない？
静海 このは: ハイキング…？
遊佐 葉月: さっき木の実に\n興味持ってたでしょ？
遊佐 葉月: 山ならいろんな植物が見られるよ
静海 このは: …植物に\n興味があるわけじゃないけど
遊佐 葉月: まぁまぁ、とっかかりは大事だよ

--- [Section 4] (Source: 335031-4.json) ---
旁白: こんにちは
遊佐 葉月: こんにちは
静海 このは: こ、こんにちは…
静海 このは: …ふぅ…
遊佐 葉月: まだ慣れない？
遊佐 葉月: 登山やハイキングだと\nすれ違った時の挨拶は基本だよ？
静海 このは: ハイキングなんて\nほとんど来たことないもの…
静海 このは: 服装もこれでいいのか不安だし…
遊佐 葉月: 大丈夫、大丈夫！\n軽いハイキングコースだから
遊佐 葉月: それより、普段触れることのない\n自然を堪能してよ
静海 このは: …うん
遊佐 葉月: よしっ！
遊佐 葉月: ――っ!?
静海 このは: ん？
遊佐 葉月: きゃぁああっ!?\n虫！でかい虫が肩にっ…!?
静海 このは: …ああ
旁白: ポイッ
静海 このは: ほら、いなくなったわよ
遊佐 葉月: あ、ありがとう…
静海 このは: いつもはここまで\n驚かないのに…
遊佐 葉月: ホントにね…
静海 このは: …？
遊佐 葉月: アレかな…\nアタシだってお姉ちゃんだし…
遊佐 葉月: あやめには、かっこ悪いとこ\n見せたくないのかも…
静海 このは: …ふふっ、なるほどね\n今日は、甘えてもいいわよ？
遊佐 葉月: …ぅ…\nからかわないでよ…
静海 このは: ふふふ…
遊佐 葉月: ほら、アタシのことはいいから\nハイキング、楽しんでよ
静海 このは: はいはい
静海 このは: はぁ…\n自然の中って気持ちいいのね…
遊佐 葉月: でしょ？
遊佐 葉月: これで虫がいなければ\n最高なんだけど…
静海 このは: ふふっ
静海 このは: …あら？
遊佐 葉月: どうしたの？
静海 このは: 見たことない花が咲いてる
遊佐 葉月: ホントだ…\nアタシも初めて見る
静海 このは: 可愛いわね…
遊佐 葉月: 写真撮っておけば？
静海 このは: 写真？\nどうして？
遊佐 葉月: どうしてって…\n気に入ったんでしょ？
遊佐 葉月: スマホのカメラで撮っておけば\nあとで見返せるよ
遊佐 葉月: お散歩の時に気になったものを\n写真に撮る人もいるし
静海 このは: …お散歩しながら\n写真を撮る…
静海 このは: なるほど…\n趣味ってカンジがするわね
遊佐 葉月: でしょ？\n撮ってみなよ
静海 このは: そうね
旁白: パシャッ
静海 このは: …せっかくだし、ちゃんとした\nカメラを用意しようかしら
遊佐 葉月: いいじゃん\n趣味ってカンジ！
静海 このは: いいものを買えば\nあやめの成長記録用にも…
静海 このは: あっ…
静海 このは: （また、やってしまった…）
静海 このは: （あやめ断ちするって\n決めたんだから）
静海 このは: （なんでもあやめに\n繋げないようにしないと…）
遊佐 葉月: あはは…\n色々用途があるのはいいことだよ
静海 このは: 趣味用よ、趣味用…！
遊佐 葉月: わかってるって
静海 このは: これもあやめのため…\n頑張らないといけないのよね…！
