
--- [Section 30] (Source: 509930-30_ztalD.json) ---
旁白: …………ジュー…
胡桃 まなか: 邪魔したいけど、大それたことは\nできないってことです
若菜 つむぎ: なるほど…！
胡桃 まなか: 他に、手掛かりになりそうなこと\nありますか？
若菜 つむぎ: …えっとね
若菜 つむぎ: あっ！\nしまった！
若菜 つむぎ: そろそろ帰らないと\nお夕飯に間に合わない！
胡桃 まなか: えっ…\nまだ食べるんですか？
若菜 つむぎ: まなかのオムライスはご褒美！\nお夕飯はお夕飯だよ！
若菜 つむぎ: じゃあ、また明日ね！\nごちそうさま～！
胡桃 まなか: …本当によく食べますね…
若菜 つむぎ: おいしかった～…！
若菜 つむぎ: 着替えてお風呂に入らないと…
若菜 つむぎ: …ん？\nポケットに何か…？
若菜 つむぎ: あっ、タネ！\n忘れてた…！
若菜 つむぎ: （ヘルプがあったところで\n見つけたし…）
若菜 つむぎ: （これも立派な\n手掛かりだよ…！）
若菜 つむぎ: えっと、小さいタネと…
若菜 つむぎ: 中ぐらいのタネ…
若菜 つむぎ: それに、大きなタネ…
若菜 つむぎ: （ん…？\n何か書いてある…？）
若菜 つむぎ: と…ら…ぶ…………る…？
若菜 つむぎ: トラブル!?
若菜 つむぎ: ――っ!?
若菜 つむぎ: …しかも\nこのタネ…魔力が…？
若菜 つむぎ: …………
若菜 つむぎ: …全部のタネから…\n同じ魔力を感じる
若菜 つむぎ: ――っ!?
若菜 つむぎ: つまり、犯人は…\n魔法少女!?

--- [Section 33] (Source: 509933-33_ztalD.json) ---
若菜 つむぎ: あまり…\nいや、全然うまくいったとは言えないけど\nなんだかんだで乗り越えた学園祭準備期間…！
若菜 つむぎ: 今日はついに待ちに待った…
旁白: ＜学園祭初日＞
若菜 つむぎ: 無事、学園祭開催だー！
若菜 つむぎ: いっぱい食べるぞー！
胡桃 まなか: …………
胡桃 まなか: 早くアーチ支え当番\n終わるといいですね…
若菜 つむぎ: …うんっ！
胡桃 まなか: …ぐらついてません？\nやっぱりムリがあるのでは？
若菜 つむぎ: よーしっ\n当番終わり！
若菜 つむぎ: さっそく…
矢宵 かのこ: いた！\nつむぎ、ちょっと来て！
若菜 つむぎ: どうしたの？
矢宵 かのこ: 私のクラスの屋台…
矢宵 かのこ: キノコが病みつきになるって\n取りあいが始まっちゃったのよ！
若菜 つむぎ: ええっ!?\nそんなにおいしいの!?
矢宵 かのこ: そこじゃなくて…！
矢宵 かのこ: とにかく大変なの…！\n実行委員の力を貸して！
若菜 つむぎ: う、うん…！\nわかったよ
梢 麻友: つむぎちゃーん！\n助けてくださ～い…！
若菜 つむぎ: 麻友先輩も!?
梢 麻友: 大変なんです…！
梢 麻友: 飛び出した飴玉が\n連続転倒事故を起こしてしまって
若菜 つむぎ: 連続…？\nどういうこと…？
梢 麻友: 他の実行委員さんも\n忙しそうで捕まらなくて…
梢 麻友: 力を貸してください…！
若菜 つむぎ: じゃ、じゃあ…\nかのこ先輩の次で…！
旁白: あなた学園祭実行委員なの？
旁白: アーチを生徒が支えるって\nどういうこと？
旁白: 危ないわ！\nすぐにやめさせて！
若菜 つむぎ: えぇ…私ひとりじゃ\n決められないです…
旁白: じゃあ、先生を呼んで！
若菜 つむぎ: えっと…じゃあ、電話で…
旁白: こんなところにいましたわ\nそろそろお茶会の時間よ
旁白: その次は野外ステージで\n大食い競争だからね
若菜 つむぎ: 文化部と運動部の…！\nもうそんな時間…!?
若菜 つむぎ: ちょっと待って！\n順番に片付けるから…！
旁白: 若菜！\n火災感知器止めたのおまえだな！
若菜 つむぎ: げっ、先生…！\nあの後、戻してなかったの!?
旁白: 実行委員さん\n私のクラスでトラブルが！
旁白: やっと実行委員、見つけた！\n大変なの！体育館が…
若菜 つむぎ: わー！\n待って待って！
若菜 つむぎ: そんな一度に\n対応できないよぉ～！
旁白: ＜学園祭最終日…＞
若菜 つむぎ: はぁ…はぁ…\nなんとか…学園祭は…終わった…
若菜 つむぎ: 片付けも…すごかったけど…\n乗り切った…乗り切ったよ…
竜城 明日香: …はぁ…はぁ…あとは後夜祭の\n鉄板焼きさえ乗り切れば…
七瀬 ゆきか: …すでに、\n嫌な予感しかしませんっ…
旁白: ねぇ…まだですか？
七瀬 ゆきか: いま、焼いてますのでっ
竜城 明日香: 順番に並んでお待ちください！
旁白: 段取り悪い…\n全然食べれないよ…
旁白: 学園祭も楽しくなかったのに\n後夜祭も待たされるだけ…
若菜 つむぎ: すみませーん…\nもう少しお待ちくださーい！
若菜 つむぎ: （…うぅ…\n食べるヒマないよぉ…）
若菜 つむぎ: 終わった…
七瀬 ゆきか: 終わりました…
竜城 明日香: 終わりましたね…
旁白: お疲れ、みんな\n実行委員も今日はこれで解散だよ
旁白: 気を付けて帰ってね
若菜 つむぎ: はぁ…お腹空いたなぁ…
若菜 つむぎ: 後夜祭では\n何も食べられなかったし…
胡桃 まなか: つむぎさん
若菜 つむぎ: …まなか？
胡桃 まなか: どうぞ
若菜 つむぎ: …これ、たこ焼きと焼きそば！\nいいの!?
胡桃 まなか: はい
胡桃 まなか: ビックリするくらい売れず\n大量に余ったので
若菜 つむぎ: わーい！\nいただきまーす！
胡桃 まなか: ほら\nまだまだありますよ？
若菜 つむぎ: …うっ、さすがの私も\nお腹いっぱいだよぉ…
胡桃 まなか: つむぎさんが\n言ったんじゃないですか
若菜 つむぎ: 食べきれない時は呼んでよ\n全部食べるから！
胡桃 まなか: …って
若菜 つむぎ: そうだけど…
若菜 つむぎ: …まなか、怒ってる？
胡桃 まなか: いえ？
胡桃 まなか: ただ自分の言葉には責任を\n持ってもらおうと思いまして
若菜 つむぎ: 怒ってるじゃん～…！
若菜 つむぎ: ごめんって…！\n無責任だった…！
胡桃 まなか: 本当に怒ってませんよ…
胡桃 まなか: ただ、予想以上に余ってしまって\n他に頼りがなかっただけです
若菜 つむぎ: うぅ…\nまなかの期待には応えたいけど
若菜 つむぎ: さすがにギブ～…
若菜 つむぎ: なんとか学園祭最終日まで終わったけど…\nトラブルに次ぐトラブルで\nみんなも楽しめなかったみたい
若菜 つむぎ: いろいろ問題もあったから\n「もう学園祭をやりたくない」\nっていう生徒たちの意見と\n生徒の安全を優先したい先生たちの意見が\n見事に一致して…
若菜 つむぎ: 以降、水名女学園で学園祭が開催されることは\nなくなっちゃった…
