
---[Section 1] (Source: 512308-1_oSzyU.json) ---
旁白: <30分钟前…>
常盘七香: 然后，碰到中央学园\n校门口的“花”之后
江利爱实: …嗯…
？？？: …椿已经不在了\n她再也不会回来了…
？？？: …椿死了\n在很久很久以前…\n我还很小的时候，她就死了…
？？？: 所以，我们已经…\n只有在这里才能待在一起了
江利爱实: 我得知…\n椿小姐已经死了…
江利爱实: 我觉得必须找椿小姐确认这件事
江利爱实: 椿小姐…\n碰到那朵“花”的时候
江利爱实: 我就得知
江利爱实: 椿小姐已经死了…
江利爱实: 但是，椿小姐却在这里…
江利爱实: 我没办法认为你已经死了…
美琴椿: 诶…\n——小姐！？
美琴椿: ——什么了…！？
江利爱实: 诶…？\n奇怪！？椿小姐！？
江利爱实: 为什么你在消失…！？
常盘七香: 说不定，爱实同学是…
常盘七香: 意识到了不能意识到的事…
常盘七香: 或者可能是因为她指出了这一点\n才被赶了出来
志伸晶: 就是“美琴椿”小姐\n已经死了这件事，吧…
江利爱实: 原来如此…
江利爱实: 但是，大家不是真的消失了\n真是太好了…
江利爱实: 啊啊，这样吗…
空穗夏希: 怎么了？
江利爱实: 我在街上看到的都是同一批人
江利爱实: 就觉得有点奇怪
江利爱实: 不过，原来是因为\n被关在里面的人数有限啊…
常盘七香: 他们就是不让你们感到违和的\n附加要素吧…
江利爱实: …奇怪？\n椿小姐呢…？
空穗夏希: 她不在这吗？
江利爱实: …我没看到
常盘七香: 如果是已经死去的人\n某种意义上，不在这也合情合理…
江利爱实: 那，那个椿小姐是幻影吗…？
江利爱实: 不对，幽灵…！？
常盘七香: …………
常盘七香: 又或者是…\n来自过去的本人…
江利爱实: 诶…？

---[Section 3] (Source: 512308-3_oSzyU.json) ---
常盘七香: 又或者是…\n来自过去的本人…
江利爱实: 诶…？
江利爱实: 什么意思…？
常盘七香: 这里现在正环绕着\n像魔女结界一样的强烈魔力
常盘七香: 或许是藉由某种魔法\n仅让她本人的意识
常盘七香: 从过去的时代迷失进了那个空间…
志伸晶: 意思是，肉体还留在过去\n只有意识来到了现在吗？
常盘七香: …是的\n我是这么想的
江利爱实: 为什么你会这么想？
常盘七香: 因为爱实同学
？？？: …椿已经不在了\n她再也不会回来了…
？？？: …椿死了\n在很久很久以前…\n我还很小的时候，她就死了…
？？？: 所以，我们已经…\n只有在这里才能待在一起了
常盘七香: 是“认知”到了这样的\n某人的思念
常盘七香: 才得知了椿小姐的“死”吧？
江利爱实: …嗯
常盘七香: 我认为碰到“花”后认知到的东西\n不可能和这次的事件毫无关系
常盘七香: 也就是说，心怀这份思念的人\n就身处这次事件的中心
常盘七香: 那么…对那个人来说\n不可或缺的东西是什么？
江利爱实: …啊，这样吗
江利爱实: 对那个人不可或缺的\n就是“真正的椿小姐”…
常盘七香: …是的，就是真正的…\n生前的美琴椿小姐
常盘七香: 虽然这只是我的推测\n但我认为不无可能
志伸晶: 那个…也就是说，如果其他人\n也指出“椿小姐的死”
志伸晶: 她们就也能回来了吗…？
常盘七香: 这个可能性很高
常盘七香: 但是，照这个方法\n要救出所有人还是很难吧…
空穗夏希: 能不能和对面的人交流呢…？
江利爱实: 因为能听见我们商量的声音
江利爱实: 所以如果能意识到这边是现实\n或许有机会…？
空穗夏希: 啊，我一直叫你的名字\n爱实就有反应了耶
江利爱实: 好！\n那我叫叫看！
江利爱实: 喂——！听得见吗！？\n心，真良——！！
江利爱实: …也是，不可能这么顺利吧…
江利爱实: …………
江利爱实: 嗯——…\n要是能和她们俩说上话就好了…
粟根心: …爱实，你在那里吗？
加贺见真良: 你没事吧…？
江利爱实: …………
江利爱实: …不是吧！\n她们真的回应了…！

---[Section 4] (Source: 512308-4_oSzyU.json) ---
加贺见真良: …我明白那边的情况了
粟根心: 也弄清楚了这之后必须去的地方…
加贺见真良: 只要去意识，我们就能\n“认知”到那边的事情
加贺见真良: 所以弄明白了什么\n就告诉我们吧…
粟根心: 我们也会马上告诉你们\n我们弄明白的事
江利爱实: 嗯…
江利爱实: 不知道会发生什么，\n所以你们要小心…
江利爱实: 还有，小华华莉和小铃音\n就拜托你们了…
江利爱实: 虽然不知道她们俩遇到了什么…
江利爱实: 但我不希望这件事变得太悲伤…
粟根心: …嗯，我也这么想…
加贺见真良: …………
常盘七香: 我也有一句话要说
常盘七香: 这边的铃音同学和华华莉同学
常盘七香: 从我们这里尤其难“认知”到
粟根心: 什么意思…？
加贺见真良: …她们变得像\n爱实消失的时候一样了吗？
常盘七香: …从我看来
常盘七香: 只要不努力意识\n就会有种被从视野中除去了的感觉
志伸晶: …这么说起来\n和最开始看到的时候相比
志伸晶: 其他的各位\n存在感好像也薄弱了一点…
常盘七香: 虽然这也只是我的推测…
常盘七香: 如果在那边待太久
常盘七香: 或许就会无法\n被现实世界的人认知到了
江利爱实: …也就是说\n夏希能在变成那样之前
江利爱实: 注意到我，真是太幸运了…
加贺见真良: …………
加贺见真良: …我会作为忠告记下的…
粟根心: 谢谢\n那么，再见
常盘七香: 好的\n请你们一定要小心
加贺见真良: …………
粟根心: 不过，爱实她平安无事…\n真是太好了…
加贺见真良: …不如说，并非平安无事的\n反而是我们
粟根心: 啊哈哈…\n是啊…
粟根心: 也有其他人被卷了进来\n无论如何都必须要解决呢！
加贺见真良: …真有你的风格
粟根心: 真良也不觉得这样下去就好吧？
加贺见真良: …嗯
加贺见真良: …赶紧去椿小姐她们住的公寓吧
粟根心: 嗯…\n必须见铃音和华华莉一面…
加贺见真良: …………\n…………
加贺见真良: 如果不赶紧，可能就危险了
粟根心: …什么意思？
加贺见真良: 我的意思是\n她们俩可能会变成敌人…
