
---[Section 1] (Source: 311011-1.json) ---
旁白: 特賞！\nおめでとうございますー！
やちよ: そうよ
やちよ: 海で何かあった時、浮き輪なしで\n泳げた方がいいでしょ？
いろは: それは…確かにそうですけど…
いろは: でも…浮き輪なしだなんて…！
やちよ: 環さん…
いろは: はい…
やちよ: 「見る前に飛べ」…よ！
やちよ: 私がサポートするから\nやってみましょう…！
いろは: は、はい…！

---[Section 3] (Source: 311011-3.json) ---
いろは: 私がポロっとこぼした一言から\n浮き輪なしで泳ぐ練習をする\nということになって…
いろは: う…う…う…！
やちよ: はい、手は握ってるからね… \nバタ足を続けて
いろは: はひ！
いろは: （うう…浮き輪なしで\n海に入ってる～！怖い～！）
やちよ: じゃあ、そろそろ行くわよ～…
いろは: や、やちよさん！やっぱり\n手を離さないでください～！
やちよ: ダメよ！\nちょっとでもいいから泳いで！
やちよ: 浮き輪がない状況に慣れないと！
いろは: ううう～！
やちよ: じゃあいくわよ？\nせーの…
やちよ: はい！
いろは: あわ、あわわわわ～！
いろは: む、無理でブクブクブク…
やちよ: 環さん！
いろは: はー…はー…はー…
やちよ: ５秒も持たなかったわね…
いろは: もう…怖くて…怖くて…\nはー…はー…
やちよ: 恐怖心で体が思うように\n動かなくなってるわね…
いろは: はい…怖いです…
やちよ: …そう…\n仕方がないわね…
いろは: はい…
やちよ: 練習のプランを変更しましょう
いろは: …変更…？
やちよ: 特別コーチを呼ぶわ
いろは: と、特別コーチ…!?\n誰ですか…？
やちよ: あなたもよく知っている\nあの子よ
いろは: …まさか…！
いろは: …クロフライを\n練習している人ですか…？
やちよ: 正解よ\n…鶴乃！ちょっと来てくれる？
鶴乃: ほえ？\nどうしたの？

---[Section 4] (Source: 311011-4.json) ---
鶴乃: ほえ？\nどうしたの？
やちよ: 環さんに泳ぎを\n教えてほしいの
鶴乃: 私がいろはちゃんに？
いろは: あ、あのやちよさん\n私、やっぱり…
やちよ: 環さん
いろは: は、はい！
やちよ: …通常とは違う角度から\nアプローチすることも大事よ
いろは: は、はあ…
やちよ: 鶴乃だったら、思いがけない\n突破口を開いてくれるかも…
やちよ: 鶴乃、頼まれてくれる？
鶴乃: …う～ん\nよく分かんないけど…
鶴乃: わたしがいろはちゃんに\n泳ぎを教えればいいんだね！
やちよ: そういうこと
鶴乃: 任せてよ！
鶴乃: 鶴乃流泳法のすべてを\nいろはちゃんに教えるから！
いろは: あの、普通の泳ぎ方で\nいいんだけど…
鶴乃: …遠慮しなくていいよ！
いろは: いや、あの、基礎がダメなんで\nまずはそこから…
鶴乃: むぅ…それもそうだね\n基本は大事…うん…
鶴乃: よーし！じゃあまずは\nクロールから行こうか！
いろは: う、うん…
やちよ: お願いね、鶴乃
鶴乃: りょーかいっ！
いろは: はあ…\nこの先、どうなっちゃうのかな…
