
---[Section 1] (Source: 207803-1_69ea8.json) ---
青: —青—\n因此，我们才能不被他人支配\n而是去支配他人
十七夜: 什么意思
十七夜的弟弟: 包围我的人之中，\n有一位我曾经见过的家伙
十七夜: 是谁
十七夜的弟弟: …的团体的人…
十七夜: …………！
十七夜: 确定没错吗…
十七夜的弟弟: 嗯，这个不会错的…
十七夜: （我曾经从八云那边\n听过那团体的名字…）
十七夜: （是之前选举时，\n妨碍了西边候补的团体…）
十七夜: （对这间医院的院长扔石头的\n也是那个团体…）
十七夜: （而且还是西侧的自导自演…）
十七夜: （与其让我们也成为\n贬低东边的饵食的话…）
十七夜: …告诉我那团体的据点
十七夜的弟弟: 诶…？
十七夜的弟弟: 姐、姐姐别这样…！\n你想做什么…！
十七夜: 下次发生什么事的话，\n就由我主动过去
十七夜: 你不说的话我便要窥视了

---[Section 3] (Source: 207803-3_69ea8.json) ---
十七夜: 从后门进来失礼了
店长: 啊啦，七夜碳\n你今天没值班吧？
十七夜: 我是来商量关于排班的事
十七夜: 因为家里有一些事情变得忙碌
十七夜: 从今天开始的数天内，\n可能又没时间排班了…
十七夜: 非常抱歉造成你的困扰…
店长: 什么啊，这种事只要发个短信\n说一下就行了…
十七夜: …………
店长: …怎么了吗？
十七夜: 也许是我的错觉，\n刚刚姐姐大人…
十七夜: 是不是稍微松了一口气？
店长: ――!?
店长: 才、才没有这回事
店长: 毕竟得不到七夜碳你\n这个战力的帮助
十七夜: 是啊…\n隔壁的店也张贴了休业的公告…
十七夜: 我们这店似乎也要忙碌一阵子了
十七夜: 但是非常抱歉\n这时候帮不上忙
店长: 别在意
十七夜: …………
旁白: 等一下，七夜碳
十七夜: 姆…？
旁白: …听我说，这间店…\n就在不久前遭受了威胁…！
十七夜: 什么…！
十七夜: 这是怎么回事\n是谁干的
旁白: 虽然姐姐大人好像隐瞒着…
十七夜: （又是那个集团的名字吗…！）
十七夜: （从八云那边听说…\n在昨天袭击了我弟…！）
旁白: …………
十七夜: 可是，\n为什么我们这间店会被盯上…
旁白: …………！
十七夜: 姐姐大人也真是的
十七夜: 既然遭受到这样的麻烦\n说出来商量不就好了…
旁白: …………
十七夜: …………啊啊，对了\n被袭击的原因是…
十七夜的弟弟: 不对，是之前的选举\n因为那个让东边的印象变差了
十七夜的父亲: 那间公司来联络我
十七夜的父亲: 又取消录取了…
店长: 不过，可不能太常把家里的事情\n毫无顾忌的说出来啊
十七夜: …是我吗…！
十七夜: 因为我是大东区出身的…！
旁白: 不对，\n还不是因为七夜碳的关系
十七夜: 还不是…？
旁白: 在选举过后时不时的，\n就会有那样的人们
旁白: 来威胁说不要雇用大东区的人\n这是真的…
旁白: 不过，姐姐大人现在是拒绝胁迫的
旁白: 七夜碳的事还没被发现…
旁白: 但也是有人在别间店\n被发现过…
十七夜: 难道是那个休业中的…！\n那是遭遇到袭击吗…!?
旁白: …………
旁白: 所以拜托你！\n别说要辞职！
旁白: 但唯独你的出身地\n绝对不要说出去…！
十七夜: …………啊啊，那是当然的\n我向你保证
旁白: …………
旁白: …呜…呜…
十七夜: 为何要哭…
旁白: 因为…
旁白: 我觉得受到这种请求的七夜碳\n太可怜了…
旁白: 对不起…
十七夜: 明明是你自己说的\n道歉什么…
十七夜: …不，看来是我让你说了\n难以说出口的话了呢…
十七夜: 谢谢你
十七夜: 现在这件事\n好像又让我看开了一点
十七夜: 那么…我走了
十七夜: …………我要去动手了

---[Section 4] (Source: 207803-4_69ea8.json) ---
旁白: （倒下…）
十七夜: 哈啊…哈啊…
旁白: 呜呜…
旁白: 好难受…好痛…
旁白: 杀了我吧…
旁白: 什么都看不见…
十七夜: 哈啊…哈啊…
十七夜: …………
十七夜: 下手…了吗…\n我，对一般人…
十七夜: …………
十七夜: （跟这些人相比，\n我还…）
十七夜: 对人下手…
十七夜: 原本以为我没有\n足以跨越这一线的虚无…
十七夜: …我终于把为了维护秩序而加害人\n视为正确的事了
十七夜: 抱歉…
十七夜: 各位，抱歉\n我已经…
？？？: 「别以为能够回头」
十七夜: 是谁
？？？: 你已经做到这个地步\n只能前进了
十七夜: …………
？？？: 别以为能够回头
？？？: 回到那个温暖自在\n美好的日常
？？？: 你已经连回去的资格和可能性\n都没了
？？？: 再也无法从谁身上感到温柔\n得到温情
十七夜: …………
？？？: 但是呢，仔细想想吧
？？？: 归根结底，\n原本的你是哪边的人？
？？？: 装作冷静，内心却积蓄着怒火\n这才是我吧
十七夜: 不对，我是打算改变的
？？？: 可是，却没能改变\n事实就是这样
十七夜: 真遗憾啊
？？？: 但是变得乐观点吧，我\n你正感受到解放感
？？？: 现在充满你内心的感情\n是什么？
？？？: 是一片漆黑吗？
？？？: 不是吧？\n我知道哦
十七夜: …你说的对
十七夜: 感觉比原本期待的\n还要畅快许多…
？？？: 没错\n你现在正往前迈进
？？？: 不对，是往顶点吗
？？？: 你在今天越过了\n本以为无法越过的一线
？？？: 对一般人下手了\n正因为这样，让我送你这番话吧
？？？: 为了平等\n打击你遇见的事物
？？？: 将包括人类的一切\n全部清光吧
？？？: 荒芜的毁灭才是\n真正的平等
十七夜: …………呵呵
十七夜: 将一切全部清光，吗…
十七夜: 啊啊，正是这样
十七夜: 说得好啊\n我内心中的我
十七夜: 我要毁掉神滨市中\n持续生出负面的历史
十七夜: 成为一位能让人将琐碎的对立\n统统忘掉的大恶人
十七夜: 就算那会让所爱之人受苦…
？？？: 嗯，\n那才是真正的救赎
十七夜: …呵呵
十七夜: 真是讽刺呢
十七夜: 过去Magius之翼没能成就的事
十七夜: 如今我却想达成
十七夜: 没问题，我没问题的
十七夜: 只要不放弃\n我的梦想一定能实现
十七夜: 我越过了一线…\n是能越过的人
十七夜: 已经没什么好怕了
十七夜: 我会将一切全清光的
？？？: 嗯，去吧
十七夜: …………
十七夜: 我下定决心了
旁白: 昨日凌晨，以神滨市为据点的\n反社会势力的事务所遭到袭击
旁白: 被害者皆是事务所内的成员\n多数人陷入意识不清的性命垂危状态
旁白: 据唯一清醒的被害者所说\n袭击的犯人\n是仅仅一位少女
旁白: 由于包括证言感到不解的地方太多\n因此警察采取的方针是\n彻底找寻线索进行搜查
