
--- [Section 51] (Source: 513251-51_wFvmE.json) ---
院長: いいかしら、皆さん…
院長: しっかりと手をつないで\n支え合って生きていきましょうね
遊佐 葉月: おかえり、このは\nみたまさんには会えた…？
静海 このは: ええ…葉月は？
遊佐 葉月: うん、リヴィアさんに伝えたよ\n活動休止のこと…
静海 このは: そう…
遊佐 葉月: アタシらと紗枝さんのことは\n明日には噂になるだろうね…
三栗 あやめ: そうなったら…あちしたちの\nよーじんぼーはどうなるの…？
静海 このは: …わからない
静海 このは: 続けるのか、やめるのかは\n３人で答えを出しましょう
三栗 あやめ: …ふたりの考えは…？
静海 このは: 私は…迷ってるわ…
遊佐 葉月: アタシは…やめるべきなのかも\nって思ってるかな…
三栗 あやめ: どうして…？
遊佐 葉月: 用心棒を始めて、アタシらは\n少しずつ変わってきたよね…
遊佐 葉月: 自分たち以外のために活動する\nのも悪くないって思えてきたりさ
遊佐 葉月: でも…用心棒なのに
遊佐 葉月: 依頼主とアタシら３人の命を\n守りきれないなんてさ…
遊佐 葉月: このまま活動を続けて\nいいのかなって…
三栗 あやめ: …言われてみたら…\nそうなのかも…
静海 このは: 命を預かる仕事に対して
静海 このは: 私たちの覚悟が足りなかったのは\n事実だけど…
静海 このは: このまま用心棒をやめて\n元に戻っていいのかしら…
静海 このは: （私たち自身の将来のことも\n掴めそうな気がしてたのに…）
遊佐 葉月: 情けないけど、今のアタシには\n他人を守る自信はもうないな…
遊佐 葉月: …あやめはどうしたい？
三栗 あやめ: あちしは…\nどうしたいのか、わかんない…
静海 このは: …もう少し考えましょう
静海 このは: ３人で答えを出すのは\nそのあとよ…

--- [Section 53] (Source: 513253-53_wFvmE.json) ---
夏目 かこ: あやめちゃん…\n来てくれるかな…
志伸 あきら: きっと来るよ
志伸 あきら: あやめちゃんだって\nかこちゃんと話したいはずだし
純 美雨: む…来たヨ
夏目 かこ: わ、わ…!?
志伸 あきら: じゃあね、かこちゃん！\nボクたちは離れておくよ
夏目 かこ: は、はい…！
三栗 あやめ: かこ…
夏目 かこ: 良かった、あやめちゃん…！
夏目 かこ: 今日は会えないかもって\n思ってたから…
三栗 あやめ: ん…
夏目 かこ: あの…えっと…\n大丈夫じゃないよね…
三栗 あやめ: かこも…知ってるんだよね\nあちしたちと紗枝のこと…
夏目 かこ: うん…………
三栗 あやめ: …………
夏目 かこ: …………
三栗 あやめ: …別に気なんか\nつかわなくていいぞ
夏目 かこ: そうじゃなくて…\n心配なの、あやめちゃんのこと…
三栗 あやめ: …なんかさ、\nよくわかんなくなっちゃった…
三栗 あやめ: あちしは…魔法少女を守るために\nよーじんぼーをやってたのにさ…
三栗 あやめ: 紗枝…死んじゃったんだよね…
夏目 かこ: うん…
三栗 あやめ: あちしたち…人殺しなんだよね…
夏目 かこ: それは違うよ！
夏目 かこ: みんなが頑張ってただけで…\n誰も悪くなんかないのに…
三栗 あやめ: …でも、あちしが紗枝だったら\nこんなのひどいって思うし…
三栗 あやめ: よーじんぼーを\nやめるべきだよね…
夏目 かこ: …でも…私は何度も\nあやめちゃんに助けられてるよ
夏目 かこ: 私がこの間プロミストブラッドに\n襲われた時だって…
三栗 あやめ: あの時は結局、このはたちに\n助けてもらっただけだよ…
夏目 かこ: でも、あやめちゃんがいたから\n私は助かったんだよ
夏目 かこ: それに…あやめちゃんが\n用心棒を始めてから
夏目 かこ: たくさんの子を助けたってこと\n私は知ってるよ…
三栗 あやめ: …………
夏目 かこ: 桐野紗枝さんのことは…\nとても残念だけど…
夏目 かこ: ここで用心棒をやめちゃって\n本当にいいのかな…
三栗 あやめ: でも、あちし…怖いんだ…
三栗 あやめ: あちしが弱っちいせいで\nまた誰かを死なせちゃうのが…
夏目 かこ: …………
三栗 あやめ: …あちしさ、\nよーじんぼーを始めてから
三栗 あやめ: 誰かのために、カッコイイことを\nやってみたくなってさ
三栗 あやめ: 大人になったら、誰かを助ける\n仕事もいいなーとか思ってたんだ
三栗 あやめ: でも…無理だよね\nあちしには…
夏目 かこ: どうして…？
三栗 あやめ: だって、あちしは紗枝を\n守れなかったんだもん…
三栗 あやめ: よーじんぼーも\n誰かを助ける仕事も無理なんだ…
夏目 かこ: そんなことないよ…！\nもう１回、頑張ってみよう…？
三栗 あやめ: …いいんだ
三栗 あやめ: このはと葉月と一緒にいられて
三栗 あやめ: かことかがピンチの時に\n手伝えるなら…
三栗 あやめ: よーじんぼーは、もういいんだ…
夏目 かこ: …あやめちゃん…………
あきら＆美雨: …………

--- [Section 54] (Source: 513254-54_wFvmE.json) ---
旁白: カランカラン
旁白: いらっしゃいませ\nお好きな席へどうぞ
遊佐 葉月: どーも
遊佐 葉月: （さて、彼女は…）
ななかの声: …こちらです
遊佐 葉月: …こんにちは\n待たせちゃったかな？
常盤 ななか: いえ、今来たところですから
遊佐 葉月: そう？\nなら良かった
遊佐 葉月: で、今日はどんな用事？
常盤 ななか: 単刀直入に聞きます
常盤 ななか: あなたたちが苦戦した\n魔女について情報を得たいんです
遊佐 葉月: なんで魔女だと思ったの？
常盤 ななか: あの日、各グループ間での\n小競り合いはありませんでした
常盤 ななか: 消去法で考えれば\n魔女という線しかありません
遊佐 葉月: う～ん、話してもいいけど…
遊佐 葉月: あいにく、アタシには\n欲しい情報がないし
遊佐 葉月: そっちにめぼしい情報がないなら\n情報交換にならないんだよね～
常盤 ななか: あら…いつもなら\n貸しにしておいてくださるのに…
常盤 ななか: それとも…\n情報を提供したくない理由でも？
遊佐 葉月: 単純にアタシらにとって\n最大級に都合が悪いってのもある
遊佐 葉月: その様子なら、\nもう知ってるんだろうけどさ
常盤 ななか: 桐野紗枝さんのこと…ですね…
常盤 ななか: 詳細は知りませんが、\n不幸な事故は誰にでも起こります
常盤 ななか: ただ…その事故の原因が明確で\nあなた方の過失でないのなら
常盤 ななか: 早い段階で対処し\n悪い芽を摘むべきです
遊佐 葉月: まぁ、確かに厄介な相手である\nことは間違いないけど…
遊佐 葉月: 放置していても、しばらくは\n誰にも見つからないだろうさ
遊佐 葉月: かくれんぼが得意だからね
常盤 ななか: それは…
常盤 ななか: …………
遊佐 葉月: そちらさんにめぼしい情報が\nないなら、今日はお暇するよ
常盤 ななか: …お待ちください
常盤 ななか: あなた方が用心棒としての活動を\n休止するとも伺いました
遊佐 葉月: …ホント、耳が早いねぇ
常盤 ななか: 神浜の魔法少女を失ったのは\n非情に残念ですが…
常盤 ななか: 少しの休息を経てから\n活動を再開されるのですか？
遊佐 葉月: さあね…\n３人の話し合い次第かな…
常盤 ななか: そうですか…
遊佐 葉月: もしかしてアタシらに\n依頼したいことでもあった？
常盤 ななか: いえ…ただ、用心棒を始めてから
常盤 ななか: あなた方がまとう雰囲気が\n変わったように思えましたので
常盤 ななか: その後が気になっただけですよ
遊佐 葉月: あはは、そんな風に\nアタシらのこと観察してたんだ
遊佐 葉月: …まぁ、でも…
遊佐 葉月: 他人の面倒まで見切れない以上は\nやめたほうがいいんだろうね
常盤 ななか: …………
遊佐 葉月: …………
遊佐 葉月: （紗枝さんを死なせたことで\n用心棒の評価は地に落ちて…）
遊佐 葉月: （アタシらにとって神浜は\nより不利な環境になった…）
遊佐 葉月: （…魔法少女としての生き方を\n変えた結果がこれなら）
遊佐 葉月: （やっぱり元のアタシらに\n戻るべき…だよね…）
遊佐 葉月: …………
遊佐 葉月: …よし
遊佐 葉月: （最初に用心棒を提案したのは\nアタシだし…）
遊佐 葉月: （ふたりにはアタシから\n話さないと）
遊佐 葉月: （用心棒をやめて…\nやり直そうって…）

--- [Section 55] (Source: 513255-55_wFvmE.json) ---
静海 このは: …ごめんなさい\n遅くなったわ…
由貴 真里愛: このはさん…\n紗枝ちゃんは…本当に…
静海 このは: …ええ、亡くなったわ…\n私たちの判断ミスよ…
由貴 真里愛: 紗枝ちゃんと連絡が取れなくて\n嫌な予感はしてたけど…
由貴 真里愛: …噂は…本当だったのね…
静海 このは: ごめんなさい…
静海 このは: 紗枝さんに\n私たちを紹介してくれたのに
静海 このは: こんなことになって…
由貴 真里愛: 謝らないで…
由貴 真里愛: 紗枝ちゃんに協力できなかった\n私だって同罪よ…
由貴 真里愛: …紗枝ちゃん…
由貴 真里愛: みんなに優しくて…家族思いで…\n本当にいい子だったのに…
静海 このは: …………
静海 このは: 用心棒を始めたのは\n間違いだったわ…
由貴 真里愛: え…？
静海 このは: 私たちは…魔法少女としての\n生き方を変えたかったの…
静海 このは: だから用心棒を始めたのに\nこんなことになるなんて…
由貴 真里愛: …でも、私は助けてもらったわ\nこのはさんたちに…
静海 このは: 助けてあげられた人もいるけど\n紗枝さんはもう帰ってこない…
静海 このは: 今後も誰かを死なせることに\nなるなら…
静海 このは: 用心棒は…やめると思うわ…
由貴 真里愛: …………
由貴 真里愛: そんなのダメよ…
静海 このは: え…？
由貴 真里愛: このはさんたちが\n今、用心棒をやめたら
由貴 真里愛: 紗枝ちゃんの死も…想いも…\n何も意味を残せない…
由貴 真里愛: 悲しいだけで終わってしまうわ…
静海 このは: …………
由貴 真里愛: お願い、このはさん…\n用心棒を続けて…！
由貴 真里愛: 紗枝ちゃんの想いと…
由貴 真里愛: このはさんたちの想いを\n無駄にしないで…
由貴 真里愛: 途中で諦めてしまったら\nきっと何も変わらないわ…！
静海 このは: …………！
静海 このは: でも…本当にうまくいくの…？
遊佐 葉月: やってみないとわからないけど
遊佐 葉月: アタシらは変わる時なんだよ\n３人の将来のために…
静海 このは: …………
静海 このは: ありがとう、真里愛さん…
静海 このは: （何もしないことこそが\n悪手だってわかってるのに）
静海 このは: （また、前の自分に\n戻ろうとしてた…）
静海 このは: （情けないわ…）
由貴 真里愛: 考え直してくれる…？\n用心棒の活動のこと…
静海 このは: ええ…葉月とあやめと話し合って\nちゃんと答えを出すわ…
静海 このは: 私たちの想いも、\n紗枝さんの想いも生かせるように

--- [Section 56] (Source: 513256-56_wFvmE.json) ---
三栗 あやめ: このはと葉月からぴったし\nメッセージが来たから
三栗 あやめ: 何かと思ったよ～…
遊佐 葉月: あはは…ごめんごめん
遊佐 葉月: でも、\nちょうどよかったみたいだね
静海 このは: …葉月も考えがまとまったのね
遊佐 葉月: そう言うこのはこそ…
静海 このは: …あやめはどう？\n考えはまとまった…？
三栗 あやめ: うん…
三栗 あやめ: 葉月も昨日、言ってたけど…
三栗 あやめ: あちしは…よーじんぼーを\nやめるのがいいと思う…
三栗 あやめ: 中立を守るだけなら\nよーじんぼーじゃなくていいし
三栗 あやめ: 他の子を死なせちゃうくらいなら\nやらないほうがいいもん…
静海 このは: でも、友だちがピンチの時は\n守りたいって言ってたわよね…？
三栗 あやめ: うん…だから、かことかが\nピンチの時だけ助けに行く…
三栗 あやめ: このはと約束した通り…\n行く前にはちゃんと相談する…
静海 このは: …あやめの考えはわかったわ
静海 このは: 葉月は…？
遊佐 葉月: …アタシも\n用心棒をやめるのは賛成
遊佐 葉月: その上で…神浜から出て行きたい
三栗 あやめ: え…!?\nなんで、葉月…！
遊佐 葉月: 用心棒を始めたのは
遊佐 葉月: 中立を保ちながら、アタシらと\n依頼主の命を守ることで
遊佐 葉月: アタシらの命の優先度のブレを\nなくすためだった
遊佐 葉月: でも…紗枝さんを死なせて\nこの方法じゃダメだってわかった
遊佐 葉月: 神浜の魔法少女からの\n評価も下がって…
遊佐 葉月: 今じゃ逆境に立たされてる…
静海 このは: …………
遊佐 葉月: 用心棒をやめても神浜に残るなら\n生き辛くなるのは目に見えてる…
遊佐 葉月: だから、前みたいに\n新天地に引っ越すんだ
三栗 あやめ: でもでも…かことかフェリシアと\n遊べなくなっちゃう…！
遊佐 葉月: …新天地で落ち着いたら\n連絡くらいは取っていいよ
遊佐 葉月: …遊べる機会は減っちゃうけど\nこれは３人のためだから…
三栗 あやめ: …３人の、ため…
静海 このは: …ふたりの意見はわかったわ
遊佐 葉月: このははどう…？
静海 このは: 私は…………
静海 このは: …用心棒をやめるべきだって\n思ってたけど…
静海 このは: …これからも神浜に残って\n用心棒を続けていきたい
遊佐 葉月: ――っ!?
三栗 あやめ: え、え…!?
三栗 あやめ: じゃあ…あちしたち\nどうすればいいの…？
选项: 【あやめの決断】→ group_2
选项: 【葉月の決断】→ group_3
选项: 【このはの決断】→ group_4

--- [Section 56 - Branch 5] (Source: 513256-56_wFvmE.json) ---
选项: 【あやめの決断】→ group_2
选项: 【葉月の決断】→ group_3
选项: 【このはの決断】→ group_4

--- [Section 57] (Source: 513257-57_wFvmE.json) ---
三栗 あやめ: やっぱり…無理だよぉ…
静海 このは: あやめ…？
三栗 あやめ: 用心棒を続けたら…\nまた死なせちゃうかもしれない…
三栗 あやめ: あちしが弱いせいで…
三栗 あやめ: かことかも…\n死なせちゃうかもしれない…！
三栗 あやめ: うぅ…ぅ…！
静海 このは: ごめんなさい…\nあやめの気持ちも考えずに…
遊佐 葉月: …………
遊佐 葉月: ねぇ、このは…
遊佐 葉月: 元々、用心棒を始めたのには
遊佐 葉月: あやめの、友だちを守りたいって\n意思を尊重する意味もあったし
遊佐 葉月: ここは…
静海 このは: そうね…\n無理強いはしたくないし…
静海 このは: …わかった\n用心棒の活動はもうやめましょう
静海 このは: でも、引っ越しはしないわ…
静海 このは: あやめが友だちと\n会えなくなるもの…
遊佐 葉月: それはわかったけど…
遊佐 葉月: アタシらの噂はすぐには消えない\nと思うし
遊佐 葉月: しばらくは他の魔法少女とは\n関わらずに、静かに暮らそう…
静海 このは: そうね…
遊佐 葉月: あやめも、それでいいよね…？
三栗 あやめ: うん…………
静海 このは: 正式に用心棒の活動をやめた後…\nあやめは誰かの死に関わることを怖がって\n家にこもるようになってしまった
静海 このは: あやめのソウルジェムが曇りやすくなったせいで\n私と葉月はグリーフシードを求めて\n魔女をひたすら狩る日々が続いた…
静海 このは: その結果…\n１日を乗り切るので精一杯になった私たちは\n自然と他の魔法少女たちと関わらなくなって\n神浜で暮らし始めた頃の状況に戻ってしまった…
静海 このは: あの時、あやめの気持ちを汲むだけじゃなく\nもっと３人で話し合って\n用心棒の活動を続けていれば\n私たちの今はもっと違っていたかもしれない…

--- [Section 58] (Source: 513258-58_wFvmE.json) ---
静海 このは: 私たちが用心棒を始めたのは
静海 このは: 私たちのことも、あやめの\n友だちのことも守りながら
静海 このは: 中立を保つためだった…
三栗 あやめ: うん…
遊佐 葉月: 紗枝さんのことがあるまでは\n順調にいってた気がするよ…
静海 このは: ええ、私たちは魔法少女としての\n生き方を変えられてたと思う…
静海 このは: それに…あやめが将来を考える\nきっかけになったのよね…？
三栗 あやめ: うん…でも…
静海 このは: …実はね、私も将来を考える\nきっかけになったのよ
三栗 あやめ: …………！
静海 このは: それぞれに夢を持って生きてる\n魔法少女たちを知って…
静海 このは: 私たちと同じ境遇の子どもや…
静海 このは: 子どものために行動できる人を\n支えたいって考えるようになった
遊佐 葉月: このは…
遊佐 葉月: 本当に見つかったんだね\nこのはが将来やりたいこと…
静海 このは: 恥ずかしいけど…将来をちゃんと\n考えたのは初めてよ…
静海 このは: ずっとあやめと葉月と一緒に\n居られるだけで良かったから…
三栗 あやめ: …………
静海 このは: どうしたの、あやめ\nニコニコして…
三栗 あやめ: なんか…なんかさ！\nホッとしちゃったんだ！
三栗 あやめ: このはもあちしと同じだったんだ\nってわかってさ…！
三栗 あやめ: あちし、３人に関係のないことを\n考えちゃってていいのかなって
三栗 あやめ: ちょっと後ろめたかったから…
静海 このは: 私もよ…
静海 このは: いつも３人でいることだけを\n考えてきたのに
静海 このは: 私のことだけを考えるのは\n裏切りなんじゃないかって…
遊佐 葉月: そんなことないよ\nアタシだってそうだったし
三栗 あやめ: え、葉月も!?
遊佐 葉月: うん…
遊佐 葉月: アタシも他の子たちと\n話してるうちに
遊佐 葉月: 魔法少女として、孤児として…
遊佐 葉月: アタシらを取り巻く環境を\n変えてみたいって思ったんだ
遊佐 葉月: どういう仕事なら実現するのかは\nまだ考えてないんだけどさ…
静海 このは: そう…\n葉月にもきっかけがあったのね…
静海 このは: …３人とも、用心棒の活動で\n希望を見つけられていたなら
静海 このは: なおさら用心棒の活動を\n続けて行きたいわ
静海 このは: 変わっていける未来を\nここで諦めたくないの
遊佐 葉月: …うん…
遊佐 葉月: 本当に投げ出したかったら\nいつでもできるもんね…
三栗 あやめ: また誰かを守れなかったら\nって思うと怖いけどさ…
三栗 あやめ: あちしは…このはと葉月と\nもう１回頑張りたい…！
三栗 あやめ: 今、諦めちゃったら\n紗枝にも悪い気がするから…
静海 このは: うん、辛くても頑張りましょう
静海 このは: 私たちはこれまで通り…
静海 このは: 大変な時こそ手をつないで\n支え合って生きていくのよ
三栗 あやめ: あ！院長先生も言ってたよね！
静海 このは: 覚えてたのね
遊佐 葉月: …うん\nもういっぺん、やってみよう
遊佐 葉月: 紗枝さんと…\nアタシら自身のために…
静海 このは: ふたりとも、ありがとう…！
静海 このは: 神浜で用心棒を続けましょう\n私たち３人の力を合わせて…！
あやめ＆葉月: うん！

--- [Section 59] (Source: 513259-59_wFvmE.json) ---
三栗 あやめ: 葉月の言う通り…\n神浜を出るべきなのかな…
遊佐 葉月: うん、そうだよ…
遊佐 葉月: アタシらが何もしなくたって\n批判を続ける連中はいるし
遊佐 葉月: 紗枝さんの家族や友だちにも\n顔向けできないしさ…
静海 このは: それは…………
三栗 あやめ: 弱っちいあちしじゃ\nかことかも助けられないし…
三栗 あやめ: 神浜に残って、かことかが\n困ってるのを見るくらいなら
三栗 あやめ: ピンチでもわからないくらい\n遠い場所にいる方がいいよ…
静海 このは: …本当にやめていいの…？\n用心棒の活動を…
遊佐 葉月: 新しい土地に移ればやり直せるし
遊佐 葉月: 用心棒以外の新しいことだって\n始められるよ
遊佐 葉月: だから、今は環境を変えよう…
静海 このは: …………
静海 このは: 葉月とあやめの気持ちが\nもう決まっているなら
静海 このは: 用心棒にも、神浜にも\nこだわる必要はないのよね…
静海 このは: …………
静海 このは: 正式に用心棒の活動をやめた後…\n私たちは神浜から引っ越した
静海 このは: 新しい土地なら新しいことを始められると\n言っていたのに、葉月は様子がおかしくて\n家にずっと引きこもっていると思えば\n何日も外に出て帰って来なかったりした…
静海 このは: 私とあやめは葉月を\n気遣っていたつもりだったけど\n私たちは、何も気付けてなかった…
静海 このは: <red>葉月は…魔女になった</red>
静海 このは: 新しい土地でいつの間にか広がっていた\n私たちの悪評を消すために\n葉月はひとりで奔走して、その最中で…
静海 このは: あの時、葉月とあやめの気持ちを汲むだけじゃなく\nもっと３人で話し合って\n用心棒の活動を続けていれば\n私たちの今はもっと違っていたかもしれない…
