
--- [Section 10] (Source: 513210-10_N0dw3.json) ---
旁白: ピロン♪
三栗 あやめ: そーいうことならわかった！\n全部あちしに任せとけ！
三栗 あやめ: ひとりで魔女と戦うコツを\n教えてやる！
柚希 ほとり: ほ、ホント…!?
三栗 あやめ: おう！
三栗 あやめ: でもまずは、ほとりの戦い方を\nあちしに見せろよな！
三栗 あやめ: んじゃ、魔女を探しに\nしゅっぱーつ！
柚希 ほとり: わわ…!?\nまだ心の準備が…！
柚希 ほとり: うわぁぁっ!?
遊佐 葉月: ちょっと、あやめ…!?
静海 このは: ふふ…あやめったら
静海 このは: 後輩ができたみたいで\n張り切ってるわね

--- [Section 12] (Source: 513212-12_N0dw3.json) ---
柚希 ほとり: っ…
柚希 ほとり: や、ぁあああ！
旁白: …………!!!?
柚希 ほとり: うぅ…また外した…
旁白: …………!!!!
柚希 ほとり: ひゃぁあっ!?
三栗 あやめ: あーもう、見てらんない！
三栗 あやめ: 今までどーやって\n戦ってきたんだ!?
柚希 ほとり: いつもは…妹や友だちが\nその…フォローしてくれて…
三栗 あやめ: ひとりで魔女と戦ったこと\nあんまりないのか？
柚希 ほとり: う、うん…\nごめんなさい…
三栗 あやめ: 謝ることないだろ！
三栗 あやめ: これから強くなればいーんだし\n気にすんなって！
柚希 ほとり: …………！
遊佐 葉月: あやめー！
遊佐 葉月: ぼちぼち魔女を倒したほうが\nいいよー！
三栗 あやめ: わかった！
三栗 あやめ: いいか、ほとり！
三栗 あやめ: シンチョーに戦えるのは\nほとりのいいとこだと思うぞ！
柚希 ほとり: ホント…!?
三栗 あやめ: うん！\nでもやっぱ思い切りが足んないな
柚希 ほとり: うぅ…知ってる…
三栗 あやめ: だから今日はひとつ\n目標を作って頑張るぞ！
柚希 ほとり: 目標…？
三栗 あやめ: 突撃して、魔女に１発食らわす！
三栗 あやめ: これが今日の目標だー！
柚希 ほとり: え、えぇぇ…？\nそんな怖いこと、できないよぉ…
三栗 あやめ: いいからやる！\nファイトだほとり！
柚希 ほとり: わ、わぁぁぁ!?
旁白: …………!!!!?!
柚希 ほとり: わわわ!?\n突撃なんて急には無理だよ～…！
三栗 あやめ: 単純に突っ込むんじゃなくて\n相手をよく見ろ！
柚希 ほとり: み、見るって…!?
三栗 あやめ: いいから！
柚希 ほとり: うぅぅ…………
柚希 ほとり: …………あ
三栗 あやめ: どーだ？
柚希 ほとり: この魔女、右側をかばってる…？
三栗 あやめ: よーし！\nわかったら右から突撃だー！
柚希 ほとり: や、やっぱりぃぃ…!?
旁白: …………!!?!!!
柚希 ほとり: や、やぁぁ…！
旁白: …………!?!?!!!
柚希 ほとり: すごい、当たった…！
三栗 あやめ: 突撃して、魔女に１発食らわす！\n目標達成だな！
柚希 ほとり: うん！
三栗 あやめ: うぉーしっ！\nもう１回突っ込むぞ、ほとり！
柚希 ほとり: は、はい…！
遊佐 葉月: へぇ…あやめ\nちゃんとコーチングできてるよ
静海 このは: 見違える進歩ね…！
静海 このは: 葉月、私たちも\nサポートに行きましょう
遊佐 葉月: あいよ！

--- [Section 13] (Source: 513213-13_N0dw3.json) ---
三栗 あやめ: お疲れ、ほとり！\nちゃんとひとりで倒せたな！
柚希 ほとり: う、うん…！\nありがとう、あやめさん…
柚希 ほとり: ボク…魔女相手にひとりで\nしっかり戦えたのは初めてで…！
三栗 あやめ: うんうん、いいってことよ！
柚希 ほとり: すごいなぁ、あやめさん…
柚希 ほとり: ボクと同い年なのに\nすごく強いし、格好良くて…
柚希 ほとり: まるで“ピンク先輩”だよ
三栗 あやめ: あ、そいつ知ってる！\n日曜の朝にやってるやつだろ!?
柚希 ほとり: あやめさんも見てるの…!?\n竜騎戦隊ドラレンジャー…！
三栗 あやめ: おう、ばっちりな！
遊佐 葉月: ピンク先輩って、担当カラーが\nピンク色のヒーローのこと？
柚希 ほとり: はい、ドラグーンピンクです…！
柚希 ほとり: ボク、あの番組大好きで\n強いヒーローに憧れてて…！
遊佐 葉月: なるほど\nだからちゃんと努力してるんだ
遊佐 葉月: えらいね
柚希 ほとり: うぅ…なんだか恥ずかしいです…
静海 このは: 恥ずかしいことなんかないわ
静海 このは: 目標が高いほど、\n達成するために努力できるもの
三栗 あやめ: だな！
柚希 ほとり: じゃあ…あやめさんも\n何か目標があるから強いとか？
三栗 あやめ: あ、あちしのことは\nピンク先輩でいいぞ！
柚希 ほとり: へっ？\nあ、うん…
三栗 あやめ: あちしは…そうだな
三栗 あやめ: このはと葉月と一緒にいるために\n強くなりたいって思ってるかな！
柚希 ほとり: じゃあふたりとは\nあまり一緒にいられないの…？
三栗 あやめ: ううん、毎日一緒だよ！
柚希 ほとり: えと…目標、達成してるよね…？
三栗 あやめ: 確かにそうかも…？
柚希 ほとり: うーん…気付いてないだけで\n他にも目標があるのかな…？
三栗 あやめ: 目標…目標…
遊佐 葉月: あやめ、将来やりたいことは？\n本を読んで考えてるんでしょ？
三栗 あやめ: でもまだ考え中なんだよなー
三栗 あやめ: …あ…
那由他: 私とパパは何も知らずに\n魔法少女になる子を減らして
那由他: 既に魔法少女になった子のことも\n魔法少女の宿命から助けるために
那由他: 世間に魔法少女を知ってもらう\n必要があると考えてるんですの
三栗 あやめ: 魔法少女みんなのために\nナユタが行動してるってのも
三栗 あやめ: かっちょいーって思った！
三栗 あやめ: （ナユタみたいに、あちしも\nみんなのために何かやれたら）
三栗 あやめ: （もっと葉月とこのはの役に\n立てる気がする…！）
三栗 あやめ: …みんなのためになること\nあちしもやってみたい…かな
柚希 ほとり: もしかしてヒーロー…とか…!?
三栗 あやめ: へへ、そうかも！
静海 このは: …さて、今日の依頼は\n達成でいいかしら？
柚希 ほとり: はい…！\n本当にありがとうございました
柚希 ほとり: これ…さっき倒した魔女の\nグリーフシードです
静海 このは: ほとりさんが先に使っていいわ\n残りを私たちがもらうから
柚希 ほとり: あ、はい…！
静海 このは: それじゃあ、もらっていくわね
遊佐 葉月: またよろしく頼むね
柚希 ほとり: はい！\nこちらこそ…！
三栗 あやめ: またな、ほとり！

--- [Section 14] (Source: 513214-14_N0dw3.json) ---
旁白: 依頼者：青葉ちか\n依頼内容：１日だけでいいので\nネオマギウスの注意を引き付けてください
青葉 ちか: 改めまして…\n私が青葉ちかです
遊佐 葉月: よろしくね、ちかさん
青葉 ちか: はい…
青葉 ちか: …今回の依頼は私の独断なので
青葉 ちか: 時女一族の他の子たちには\n内密にお願いします…
遊佐 葉月: それは別に構わないけど…
静海 このは: とりあえず、\n事情を聞かせてくれる？
青葉 ちか: …もちろんです
青葉 ちか: …先日のコンテナターミナルで
青葉 ちか: 私たち時女一族はネオマギウスと\n真正面からぶつかることになって
青葉 ちか: 私たちの中に怪我人が出まして…
遊佐 葉月: の石が\n取られちゃったんだっけ…
青葉 ちか: はい…
青葉 ちか: 取り返したい気持ちは\n山々ですけど
青葉 ちか: 全員が全快するまでは\n動かないつもりです…
青葉 ちか: ただ…
三栗 あやめ: 何かあるのか？
青葉 ちか: 今回のことを話すために\n一部の分家の子たちを連れて
青葉 ちか: 時女一族の本家のある集落に\n戻りたいんですけど…
青葉 ちか: 拠点の水徳寺周辺に
青葉 ちか: ネオマギウスの羽根たちが\n張り込んでいて…
青葉 ちか: 姿を見られると尾行されるし\n集落に戻れなくて困ってるんです
静海 このは: だから私たちにネオマギウスの\n注意を引き付けてほしい、と…
青葉 ちか: はい、そうなんです…
遊佐 葉月: の石に直接絡んでる\n依頼じゃないみたいだし
遊佐 葉月: 引き受けるのは問題ないけど…
遊佐 葉月: 水徳寺が拠点だって、アタシらに\n教えちゃって良かったの？
青葉 ちか: え、だってリヴィアさんからの\n紹介でしたし
青葉 ちか: 中立な用心棒なら\n信用できますから！
遊佐 葉月: あはは…
遊佐 葉月: （そうはなっから信じられると\nむずがゆいなぁ…）
三栗 あやめ: 事情はわかったよ！\nあとはあちしたちに任せとけ！
遊佐 葉月: うん、直接的な戦闘は避けて\nうまく誘導してみよう
青葉 ちか: お願いします…！
静海 このは: まずは相手の状況を探りつつ\n隙を見つけるわ
静海 このは: タイミングを見て連携するから
静海 このは: それまで、ちかさんは\n集落に戻る準備を進めておいて
青葉 ちか: わかりました！
遊佐 葉月: さて、まずはこの辺りに\n魔法少女がいるか調べよう
三栗 あやめ: さんせー！
遊佐 葉月: １、２、３…
遊佐 葉月: …うーん、気配としては\n４、５人ってところかな
三栗 あやめ: 全員ネオマギウス!?
遊佐 葉月: どうかな…
遊佐 葉月: ユニオンの子や時女の子も\nいるかもしれないし
遊佐 葉月: この人数なら、手分けして\n調べるのもいいと思うよ
静海 このは: そうね…\nでも、時間もないし
静海 このは: ネオマギウスの注意だけを引ける\n何かがあればいいけど…
三栗 あやめ: 仲間のフリをするとか…\n時女一族のフリをするとか!?
遊佐 葉月: うーん…中立でいたい以上\n嘘をついて恨まれるのもねぇ…
遊佐 葉月: …いや、逆にありか
静海 このは: 何か思いついたの？
遊佐 葉月: …うん、あんま自信はないけどね
遊佐 葉月: とりあえず、ひとりでもいいから\nネオマギウスの子を見つけよう！

--- [Section 15] (Source: 513215-15_N0dw3.json) ---
静海 このは: 見つけたわ…！
三栗 あやめ: んで、葉月\nここからどーすんの？
遊佐 葉月: まぁアタシに任せてよ
遊佐 葉月: このははアタシの話に合わせて\n適当に相槌を打ってて
静海 このは: わかったわ…
三栗 あやめ: あちしは!?
遊佐 葉月: もうすぐ行けそうだって\nちかさんに連絡を入れておいて
遊佐 葉月: そんで、チャンスになったら\nアタシが頭をかくから
遊佐 葉月: もう一回ちかさんに連絡して！
三栗 あやめ: わかった！
遊佐 葉月: んじゃ、行ってくるよ
葉月の声: こんちは～！
旁白: ――っ!?
遊佐 葉月: いや～やっと見つけましたよ\nネオマギウスのみなさん
旁白: 何、あなたは…!?
遊佐 葉月: アタシは遊佐葉月\nこっちは静海このは
静海 このは: …どうも
遊佐 葉月: アタシらは依頼を受けて
遊佐 葉月: 魔法少女の\n用心棒をやってるんです
旁白: あ、聞いたことあるような…
旁白: その用心棒が私たちに何の用？
遊佐 葉月: 今日はある人の依頼で来たんです
旁白: 誰かしら
遊佐 葉月: えっと…佐鳥かごめさんっていう\n魔法少女に取材してる子で
遊佐 葉月: 取材を手伝ってほしいって\n依頼されたんです
旁白: でもそれ、用心棒とは関係ない\n依頼じゃないですか？
遊佐 葉月: まぁそうなんですけど
遊佐 葉月: アタシらも、魔法少女至上主義の\n話を聞いてみたかったんで
遊佐 葉月: それに、魔法少女同士なら\n共感できる話もあるだろうから
遊佐 葉月: みなさんの体験を聞かせて\nほしいんです
旁白: 話をするのは構わないけど\n今はちょっと忙しいのよね…
静海 このは: すぐに済ませるから\nお願いできない…？
旁白: 先輩、すぐに済むなら\n話してあげましょうよ
旁白: ちょっとの間なら、時女から\n目を離しても大丈夫ですよ
旁白: それもそうね…
遊佐 葉月: …………
遊佐 葉月: ありがとうございます！
遊佐 葉月: あの、この後、他の子たちにも\n取材しに行っていいですか？
旁白: それなら、近くに何人かいるから\nまとめて聞いていくといいわ
旁白: 今、呼んであげる
静海 このは: ありがとう\nすごく助かるわ…！
遊佐 葉月: …いやぁ、ホント助かります～
三栗 あやめ: 葉月の合図だ…！
三栗 あやめ: 「ちか！今がチャンスだ！\n集落に帰れー！」っと…
三栗 あやめ: よし、メッセージ送信っ！
遊佐 葉月: 本当にありがとうございました
遊佐 葉月: みなさんからたくさん話を聞けて\n助かりました！
旁白: なんかつい色々話しちゃって\n長くなっちゃいましたね
静海 このは: そうよね…
静海 このは: すぐに済ませるって言ったのに\n時間を取ってしまって悪かったわ
旁白: 気にしないで
旁白: 魔法少女至上主義の理解を広める\n役に立つなら、いくらでもやるわ
旁白: 葉月さんが聞き上手だったから\nちょっと話しすぎちゃったかも…
遊佐 葉月: みなさんに聞かせてもらった話を\n佐鳥さんに伝えるときは
遊佐 葉月: プライベートに配慮しますから\n安心してください
旁白: ありがと、よろしくね
遊佐 葉月: （…こりゃ、どこかで佐鳥さんに\n謝っておかないとな…）
旁白: それじゃあ、私たちはこの辺で
遊佐 葉月: ありがとうございました！
遊佐 葉月: 次は用心棒の依頼も\nお願いしますね！

--- [Section 16] (Source: 513216-16_N0dw3.json) ---
青葉 ちか: みなさん\nありがとうございました！
静海 このは: 時女集落への報告は済んだのね？
青葉 ちか: はい、無事にできました！
青葉 ちか: 移動経路がネオマギウスに\nバレずに済んだのは
青葉 ちか: 葉月さんたちのおかげです
青葉 ちか: 本当にありがとうございました！
三栗 あやめ: いいってことよ！
遊佐 葉月: ちゃんと依頼をこなせたみたいで\nこっちも安心したよ
青葉 ちか: それじゃあ、これ…\n報酬のグリーフシードです
遊佐 葉月: うん、たしかに受け取ったよ
遊佐 葉月: それにしても、一族にここまで\n秘密にしなくてもよかったのに
遊佐 葉月: ちかさんはアタシらが中立だって\n信じてくれてるんでしょ？
青葉 ちか: はい…
青葉 ちか: でも、時女一族は一族の力を\n信じて結集しているんです…
青葉 ちか: 中立とは言え、一族以外の力を\n表だって借りることで
青葉 ちか: 一族の和を乱したくなくて…
遊佐 葉月: ふぅん…\n伝統ある一族は大変だね
青葉 ちか: あはは…一人前に一族のことを\n話しちゃってますけど
青葉 ちか: 私が時女一族のことを知ったのは\n実は最近のことで…
三栗 あやめ: え、そうなの!?
青葉 ちか: はい
青葉 ちか: 一族の血の繋がりに、そこまで\n実感があるわけじゃないんです
遊佐 葉月: …………
青葉 ちか: でも…私は、時女一族のみんなが\n大好きなんです…
青葉 ちか: 私に…人を信じる心を\n取り戻させてくれたから…
葉月＆このは: …………
青葉 ちか: だから…少しでも力になりたくて\n葉月さんたちに依頼したんです
遊佐 葉月: …そっか
青葉 ちか: 私は、大それたことはできないし\n考えもつかないですけど…
青葉 ちか: 時女一族が、魔法少女が魔女に\nならない世界を目指すなら
青葉 ちか: 私は、みなさんのことを\n裏から支えたいなって…
遊佐 葉月: （それって…）
那由他: 早くパパを見つけだして
那由他: 魔法少女を広める活動を\n再開したいですの
遊佐 葉月: 魔法少女たちの過酷な状況を\nみんなが知ることになれば
遊佐 葉月: 魔法少女になる子は\n減らせるかもしれないし…
遊佐 葉月: うん…魔法少女の環境を変える\nって発想はアリだね
遊佐 葉月: （自分自身で環境を変える\nってのもいいだけど）
遊佐 葉月: （手段はひとつじゃない…）
遊佐 葉月: （解決に向けて努力する誰かを\n裏から支えるのも手段のひとつ）
遊佐 葉月: （…アタシらの環境を変える\n手助けをするのもアリ、だね…）
青葉 ちか: それじゃあ私は\nそろそろ拠点に戻りますね
青葉 ちか: 本当にありがとうございました！
静海 このは: ええ
三栗 あやめ: じゃあね、ちか！
遊佐 葉月: 今後もご贔屓に頼むよ
青葉 ちか: はい！\nそれじゃあ…！

--- [Section 17] (Source: 513217-17_N0dw3.json) ---
旁白: 依頼者：由貴真里愛\n依頼内容：魔女退治を手伝ってもらえませんか\n今日中にお願いします…！
由貴 真里愛: あ…！\nつつじシスターズの３人ね？
静海 このは: え…
三栗 あやめ: うん、あちしたちがそうだよ！
遊佐 葉月: いやいやちょっと待って\nなんでその名前を…？
由貴 真里愛: えっと…依頼メッセージの\n返信に書いてあったけど…
三栗 あやめ: へへっ\nいい名前でしょ！
遊佐 葉月: ちょっとこのは…あの名前、\nそのまま使わせるの…？
静海 このは: 私だって動揺してるわ…\nまさか他人に知られるなんて…
由貴 真里愛: あの、ちゃんとご挨拶するのは\n初めてよね
由貴 真里愛: 由貴真里愛です
由貴 真里愛: あなたは…このはさん、よね？
静海 このは: え、ええ…
由貴 真里愛: あなたが葉月さんで\nそれから、最年少の子が…
三栗 あやめ: あちし、あやめ！
由貴 真里愛: うん、あやめちゃんね
由貴 真里愛: 今日は依頼を受けてくれて\nありがとう
三栗 あやめ: 魔女なんかすぐにやっつけるから\n見ててよね！
由貴 真里愛: ふふ、頼もしいわ
三栗 あやめ: まーな！
由貴 真里愛: あやめちゃんは偉いわね\nお姉さんたちと魔女退治なんて…
三栗 あやめ: 別にフツーだよ\n魔法少女だしね！
由貴 真里愛: …そうよね
由貴 真里愛: 魔法少女になってしまえば\n年齢は関係ないものね…
静海 このは: …………？
由貴 真里愛: …早速で悪いけど\n魔女のいる場所に案内するわ
由貴 真里愛: ついて来て…！
三栗 あやめ: ねーマリア、もうすぐ着く？
由貴 真里愛: うん、あと少しよ
由貴 真里愛: あやめちゃんの足が速いから\n思ったより早く着けそうね
三栗 あやめ: ふふーん
静海 このは: …真里愛さんは\nユニオンに参加してるのよね
静海 このは: 私たちの他に、魔女退治を\n手伝ってくれる人はいないの？
由貴 真里愛: いつもは手伝ってもらってるけど\n今日は都合の合う子がいなくて…
由貴 真里愛: ひとりで結界に入ったけど
由貴 真里愛: 魔女が素早くてね、\n私じゃ退治しきれなかったの…
遊佐 葉月: まぁ魔女退治は早い方がいいけど\n明日まで待っても良かったのに
由貴 真里愛: 結界がね、私がボランティアを\nしてる保育園の近くに出たのよ
由貴 真里愛: だから魔女退治を急ぎたいの
由貴 真里愛: 子どもたちを絶対に危険な目に\n遭わせたくないから
静海 このは: …………
静海 このは: そういうことなら、用心棒として\n依頼をしっかりこなさないとね
遊佐 葉月: うん、安心して真里愛さん\n魔女は必ず倒すよ
三栗 あやめ: 大船に乗るんだぞ、マリア！
由貴 真里愛: ありがとう…\n頼りにしてます…！

--- [Section 18] (Source: 513218-18_N0dw3.json) ---
三栗 あやめ: よーし、やるぞー！
由貴 真里愛: ええ、絶対に倒しましょう…！
静海 このは: 魔女の素早さにもよるけど\nまずは４人で魔女を囲みましょう
静海 このは: もし４人とも追いつけないくらい\n素早かったら、その時は別の作戦
静海 このは: 私の固有魔法で\n魔女に幻惑を見せるから
静海 このは: その隙に３人で魔女を叩いて
葉月＆あやめ: 了解！
由貴 真里愛: …………
由貴 真里愛: ３人とも、信頼し合ってるのね
静海 このは: ええ…ずっと３人で\n活動してきたから
由貴 真里愛: そうなのね
三栗 あやめ: そんじゃ、しゅっぱーつ！
三栗 あやめ: あ…！\nいた、魔女だ！
由貴 真里愛: あやめちゃん、慎重に近づいて…\n気取られたら逃げられるわ…！
三栗 あやめ: うおりゃー!!
由貴 真里愛: ――っ!?
旁白: ▼☆◇◎△※…!!!!
三栗 あやめ: あ…!?
由貴 真里愛: 気付かれちゃったわね…
遊佐 葉月: 思ったよりかなり動けるよ\nあの魔女…！
静海 このは: ここはふたつめの作戦で\nいきましょう
三栗 あやめ: ぐぬぅ…あちしが魔女に\n追いつけないはずないし！
三栗 あやめ: ぜーったい追いついて\n１発食らわせてやるー！
由貴 真里愛: え、えぇ…!?
静海 このは: あやめ、前に出過ぎないで！\n作戦を思い出しなさい！
三栗 あやめ: っと、そーだった！
三栗 あやめ: このはが魔法で幻を見せて\nその隙に攻撃だったよね！
静海 このは: そうよ、いい子ね\nそれじゃあ…行くわよ！
三栗 あやめ: おー!!

--- [Section 19] (Source: 513219-19_N0dw3.json) ---
三栗 あやめ: おわったー！
由貴 真里愛: みんな、お疲れさま\n本当にありがとう…！
遊佐 葉月: どういたしまして
静海 このは: あの魔女…かなり素早かったし
静海 このは: 真里愛さんがひとりで\n苦労した理由がわかったわ
由貴 真里愛: でも、このはさんたちは\nまだまだ余裕に見えたわ
由貴 真里愛: あっという間に魔女を倒して\nくれて、すごく助かっちゃった
由貴 真里愛: もう少し早く依頼させてもらえば\nよかったな、なんて
静海 このは: 依頼はいつでも歓迎よ
静海 このは: これからも何かあれば\nいつでも連絡して
遊佐 葉月: …………
由貴 真里愛: ありがとう、このはさん
由貴 真里愛: 保育園の子どもたちの安全も\n守れたし、ひと安心ね…
静海 このは: …………
静海 このは: 真里愛さんは\n子どもが好きなの…？
由貴 真里愛: え？
静海 このは: あ…保育園でボランティアを\nしてるって話してたから…
由貴 真里愛: ええ、子どもは好きよ\n学童保育でアルバイトもしてるし
遊佐 葉月: だからあやめの扱いも\n手慣れてたのかぁ
三栗 あやめ: どーいうことさ！
由貴 真里愛: ふふ
由貴 真里愛: 学童保育のアルバイトも\n保育園のボランティアもね
由貴 真里愛: すごく大変なんだけど…\n子どもたちが笑ってくれると
由貴 真里愛: それだけで、やってて良かった\nって思える瞬間があるのよね
由貴 真里愛: だから将来は保育士とか…\n子どもに関わる仕事を考えてるの
静海 このは: …………
静海 このは: （同じだわ…院長先生と…）
静海 このは: 「院長先生は\nどうして院長先生なの？」
院長: うーん、そうねぇ…
院長: みんなを育てるのは大変だし\n悩みも尽きないけど…
院長: それだけやりがいがあるからね
静海 このは: 「やりがい…？」
院長: うちに来た時に泣いてたり\n寂しそうにしていた子たちが
院長: 明るく笑えるようになってくれて
院長: あぁ…やってて良かったって\n思えることよ
静海 このは: …………
静海 このは: （つつじの家を出てから\n３人で生きることだけを考えて）
静海 このは: （将来のことも、他人のことも\n考えたことはなかったけど…）
静海 このは: （他人のために行動するなんて\nとても真似できない…）
静海 このは: （…今までの私たちなら\nそう思ってたけど…）
静海 このは: 誰かのために行動する人の\n護衛なら、協力はできそうね
静海 このは: （誰かのために行動する\n魔法少女を護衛するように）
静海 このは: （…誰かのために行動する\n一般人を守り、支える…）
静海 このは: （例えば、私たちと同じ\n孤児たちを守る…）
静海 このは: （私がそんな仕事を\n将来目指してみる、とか…？）
静海 このは: …………
由貴 真里愛: そうだ、このはさん\nこれ、報酬のグリーフシードよ
静海 このは: あ…\nうん…いただくわ
静海 このは: …………
静海 このは: （まさか私が、\n将来を考えるだけじゃなく）
静海 このは: （誰かのためになる仕事を\n考えるようになるなんて…）
三栗 あやめ: いやー！
三栗 あやめ: 誰かを守って感謝されるのも\n気分いいよね！
静海 このは: ――っ!?
静海 このは: そう、ね…
遊佐 葉月: …うん、アタシもそう思ってた
静海 このは: …………
静海 このは: （用心棒を始めてから\nずっと不思議な感じがしてる…）
静海 このは: （あやめと葉月のことだけを\n考えてきたのに…）
静海 このは: （私が…私のことを\n考えるようになってる…）
