
---[Section 1] (Source: 312101-1.json) ---
みたまの声: きゃー！\nはや～い！
みたま: レナちゃんやかえでちゃんも\n好きじゃなかったかしら…？
ももこ: そうだけど…？
みたま: ちらっ…\nちらちら～？
ももこ: …もしかして\nアタシ誘われてる？
みたま: うん
ももこ: …………
みたま: ダメ…？
ももこ: いや、ダメとかじゃなくて…
ももこ: いつもだったら…
ももこ: 知り合いの魔法少女たちに\n声かけて押しかけるだろ？
ももこ: “物量作戦よ！”とか言ってさ
みたま: えっ！\nわたしってそんなイメージなの？
ももこ: …………
みたま: ももこ？\nどうして目をそらすの？
ももこ: …ユニオンの子たちを\n集めなかったのは意外ってだけ
みたま: …それもちょっと考えたんだけど
みたま: ミィには、ユニオンと\n距離を置くように言ってるから
みたま: みんなをわたしのワガママに\n付き合わせるのはちょっと、ね？
ももこ: アタシはいいんだ？
みたま: …ダメ？
ももこ: いいよ\n付き合う
ももこ: レナとかえでに\n巨大モカウサギあげたいし
みたま: きゃあー！\nさすがももこ！大好きよ！
ももこ: はいはい
みたま: そうと決まれば善は急げ…\n買い物にでかけましょう！
ももこ: えっ！\nいまから!?
ももこ: ホント…自由だな

---[Section 3] (Source: 312101-3.json) ---
みたま: そのあと、\n一緒に買い物に行ったら
みたま: 最後にとんでもない\nアクシデントがあったのよねぇ…
ももこ: 途中までは順調だったんだけどな
ももこ: …買い物って何を買うんだ？\n水着なら持ってるけど…
みたま: あら、せっかくの海なのよ？
みたま: コンテストに参加するだけじゃ\nもったいないじゃない
みたま: 遊び尽くさなきゃ、ねぇ？
ももこ: …朝から行って\n遊ぶつもりなんだな
みたま: そうっ！\n楽しみだわ～
みたま: 海水浴グッズのコーナーが\nあるみたいだし行きましょう！
ももこ: おっ…
ももこ: …………
みたま: ふーん…
みたま: （可愛い柄の\nレジャーシートね…）
みたま: （調整しているときに\n見ていたから）
みたま: （可愛いものが好きなのは\n知っていたけど…）
ももこ: …うーん…
みたま: ふふっ
ももこ: …な、なんだよ\nニヤニヤして…
みたま: レジャーシートは、\nそのかどっこパンダの柄にする？
みたま: パラソルを同じ柄で\nあわせてもいいと思うわぁ
ももこ: えっ…！
ももこ: …でも、砂まみれになっちゃうし\n実用的な方が良くないか…？
みたま: そう？
ももこ: …アタシには似合わないし
ももこ: いや、でも調整屋が\nそういうの好きなら…
ももこ: アタシは、その柄でもいいけど…
みたま: ふふっ…
みたま: （ホントに\n可愛いものが好きなのねぇ）
みたま: （百面相しちゃって、\n可愛い…）
ももこ: だから、なんなんだよ…\nやっぱり変って言いたいのか？
みたま: ももこが可愛いなぁ～って
ももこ: はぁっ!?
ももこ: …………
ももこ: …買い物が目的じゃなくて
ももこ: いつもみたいに、アタシを\nからかって遊ぶのが目的だろ…
みたま: そんなに照れないでぇ？
ももこ: 照れてないっ…！
みたま: それより…\nこの花柄の浮き輪はどう？
ももこ: あっ…！\n可愛い…
みたま: それとも、こっちの\n海っぽい柄の方がいいかしら？
ももこ: 確かに、海に行くなら\n浜辺モチーフも可愛いよな…
みたま: （調整しているときに\n見えちゃうより…）
みたま: （こうして、一緒にいるときに\n見れる方がいいわねぇ）
ももこ: ふぅ…\n色々見たわりに買わなかったな…
みたま: だって、\nお小遣いは限られてるもの…
みたま: その分、しっかり選ばないと
ももこ: 調整屋って、その辺\n意外としっかりしてるよな
ももこ: …あっ、そうだ\nちょっと日焼け止め買ってくる
みたま: あら…\n買い忘れちゃったの～？
ももこ: いや、いつも使ってるやつが\nさっきのところになくてさ
ももこ: ドラッグストアに行って来るよ
ももこ: 調整屋はどうする？
みたま: ちょっと買うものがあるから\nその間に行って来るわ
ももこ: わかった\nじゃあ、あとで！
みたま: ええ\n終わったらここに戻るから
みたま: （ホタテだけじゃ味気ないし\n手に入ってよかったわぁ）
みかげの声: …あれ、姉ちゃ？
みたま: えっ、ミィ…？

---[Section 4] (Source: 312101-4.json) ---
みたま: （ホタテだけじゃ味気ないし\n手に入ってよかったわぁ）
みかげの声: …あれ、姉ちゃ？
みたま: えっ、ミィ…？
みかげ: やっぱり、姉ちゃだ！\nどうしてここに？
みたま: えっ…
みたま: えっと～…
みたま: （駄菓子ワールドのことは\nまだ内緒だから）
みたま: （海に行くことも言えないし…）
みたま: ここでしか買えない\n食材があって…
みかげ: ――っ!?
みかげ: そ、そうなんだ…
みたま: ミィこそ、どうしたの…？
みかげ: ミィはね\n偵察！
みたま: 偵察…？
みかげ: 駄菓子コーナーを偵察して
みかげ: 新しい駄菓子が出てるか\n見張ってるの！
みたま: まぁ…
みかげ: 新しい駄菓子があったら\n姉ちゃにも教えてあげるね
みたま: ええ、楽しみにしているわぁ
みかげ: あっ！\nすーたん待たせてるんだった！
みかげ: ミィ、行くね！
みたま: 遅くなる前に帰って来るのよ
みかげ: はーい！
みたま: …はぁ…\nうまくごまかせたみたい…
ももこの声: 調整屋ー！
ももこ: ごめん\n待たせたよな…
みたま: 大丈夫よ\nわたしも戻って来たところ
みたま: でも、日焼け止めを買うにしては\n時間がかかったわねぇ…
ももこ: …あー、それがさ\nレナとかえでに会っちゃって…
ももこ: ごまかしてた…
みたま: あらぁ、わたしと一緒ね
みたま: わたしもミィと会って\n焦っちゃったわ～…
ももこ: はははっ…
ももこ: そういえば、水着は買えたのか？
みたま: えっ？\n買わないけど…？
ももこ: えっ…？\nそれで別行動だったんじゃ…？
みたま: ふふっ、それは…\n調整屋に帰ってのお楽しみよぉ～
ももこ: …？
ももこ: それから調整屋に戻って
ももこ: この水着姿に\n調整してもらったんだっけ
ももこ: 急に言い出すから、今度は何を\n企んでいるのかと思ったよ…
みたま: あらぁ、ヒドーイ…
ももこ: …なんで変身させられてるんだ？
みたま: いいから、いいからぁ\nは～い、目を閉じて…
ももこ: …………
ももこ: …閉じたよ
みたま: じゃあ、行くわよぉ
みたま: は～い♪\nできあがり！
ももこ: …………えっ…水着!?
みたま: 一緒にお買い物をしたおかげで\nももこの好みはわかったから
みたま: ほらぁ、鏡を見てみてぇ？
ももこ: …………
ももこ: …可愛い\nアタシの好みど真ん中だ…
みたま: でしょ～？
みたま: ももこってば…
みたま: 可愛いものだって似合うのに\n自分じゃ着ないんだもの
ももこ: いや…だってさ…\nアタシの柄じゃないし…
みたま: こんなに可愛いのにぃ～？
ももこ: ～っ…！\nからかうなよ！
みたま: ふふっ、やっぱりももこって\n反応がストレートよねぇ
みたま: からかい甲斐があるわぁ～
ももこ: やっぱりからかって…！\n似合ってないんだろ…
みたま: あら、似合っているのはホントよ
みたま: 照れてるももこが\n可愛いって言ってるの
ももこ: ～～っ…！\nもう、やめてくれ…
みたま: ふふっ♪
みたま: ドキドキもしてるけど…\nワクワクの方が大きいかもっ
