
---[Section 1] (Source: 506110-1.json) ---
旁白: 第10章「解决的线索」
丘卜: 看来这也是缺少的书页上\n记录的情报啊。
八千代: 等一下。
八千代: 虽然莉兹和可鲁波\n遵守了这个条件。
八千代: 但我们不仅使用了蜡烛，\n而且还提到了魔导书啊！？
佩蕾奈尔·弗拉梅尔: 「不用担心，你们二位很安全……」
佩蕾奈尔·弗拉梅尔: 「我听莉兹说了\n你们二位的肉体在未来」
佩蕾奈尔·弗拉梅尔: 「困住“圣女”的结界\n在你们的时代应该已经不复存在了」
丘卜: 原来如此，所以你们\n才能不受条件制约啊。
丘卜: 难怪来自未来的你们\n会是决定性的王牌！
丘卜: 这样一来就说得通了！
丘卜: 一开始只有莉兹\n知道这里是塔鲁特的梦境。
丘卜: 她和佩蕾奈尔合作，\n想将塔鲁特救出来。
彩羽: 但是，\n她没办法把这件事告诉其他人。
彩羽: 为防止自己出什么意外，\n所以才把事情托付给了我们。
梅丽莎·德·维尼奥勒: 不过……既然莉兹没事……
梅丽莎·德·维尼奥勒: 那为什么从那之后\n她就不再现身了呢？
佩蕾奈尔·弗拉梅尔: 「虽然莉兹身负重伤消失在影子中……\n但伤口已经治愈了」
佩蕾奈尔·弗拉梅尔: 「只不过她现在在梦境\n与现实的夹缝中迷了路」
佩蕾奈尔·弗拉梅尔: 「因为没有了“圣女”\n这束光来引导她……」
八千代: 啊……原来是这样啊。
彩羽: 什么……\n什么意思？
八千代: 你还记得吧？\n我们之前也迷路了。
彩羽: 我们现在迷路了！
彩羽: 我们会依照心之声前进，\n如果我叫你，请回答一下！
梅丽莎的声音: 什、什么！？
梅丽莎的声音: 虽然不是很明白，\n不过我试试！
八千代: 莉兹和我们那时的状态一样。
彩羽: 啊……这样啊！
彩羽: 原来是这么回事。
彩羽: 之前只要遵循塔鲁特\n这束“光”的指引，就不会迷路。
彩羽: 但是现在梦境的主人\n塔鲁特丧失了希望。
彩羽: 指引之光消失了，\n我们无法进入梦中，结果才会迷路！
八千代: 就是这样。
八千代: 所以要为莉兹领路，\n首先需要救出塔鲁特。
八千代: 我觉得只要让她知道\n“莉兹还活着”就可以了。
八千代: 这样应该就能点亮希望之光。
丘卜: 佩蕾奈尔！\n用这个方法没问题吧？
佩蕾奈尔·弗拉梅尔: 「是的！\n请一定要救出“圣女”和莉兹」
佩蕾奈尔·弗拉梅尔: 「最后，我送你们一样东西」
佩蕾奈尔·弗拉梅尔: —佩蕾奈尔—\n见到塔鲁特后，就把这个交给她吧
佩蕾奈尔·弗拉梅尔: —佩蕾奈尔—\n只要举起这把剑，引导莉兹的\n希望之光就会变得更加闪耀
彩羽: 八千代！
八千代: 嗯，\n我们要做的事很清楚了。
