
--- [Section 1] (Source: 330243-1.json) ---
旁白: ごちそうさまでしたー
胡桃 まなか: …えっ？\nつ、つむぎさん…
阿見 莉愛: 使い魔の攻撃を…\n…吸収、しましたの…？
胡桃 まなか: な、何やってるんですかー!?\nぺっしなさい、ぺっ！
若菜 つむぎ: ふぅ…刺激的なお味でした！
胡桃 まなか: なんで味わってるんですか!?\n食いしん坊にもほどがありますよ
若菜 つむぎ: ご、ごめん\nなんか反射的に…
阿見 莉愛: …えっと、あれが若菜さんの\n魔法…みたいな感じなのかしら？
若菜 つむぎ: 多分そう！攻撃をぐおーって\n受けとめるみたいな！
旁白: …………
胡桃 まなか: なんか、使い魔も\n警戒してません…？
阿見 莉愛: そりゃ、攻撃が効かない上に\n元気になっちゃうんじゃね…
若菜 つむぎ: よし！\nいまのうちにやっつけちゃうよ！

--- [Section 3] (Source: 330243-3.json) ---
若菜 つむぎ: なるほどー\n魔女退治って、こんな感じなんだ
胡桃 まなか: それより、つむぎさん\nいつの間に魔法少女に…
若菜 つむぎ: そのことなんだけど\n私ね、まなか…
旁白: ぐぅ～
若菜 つむぎ: お腹がいっぱいになれば\nしっかり説明できると思う！
胡桃 まなか: …ま、まあ、立ち話もなんですし\nうちで食べながら話しましょうか
胡桃 まなか: お待たせしました\n『まかないオムライス』です
つむぎ＆莉愛: いただきまーす！
旁白: ぱくっ！
若菜 つむぎ: 美味しー！星５つ！\n100点満点で120点！
胡桃 まなか: （…まあ、つむぎさんなら\nそう言ってくれますよね）
若菜 つむぎ: でもさ…
若菜 つむぎ: …いつものまなかなら\nもっと美味しく作れるよね？
胡桃 まなか: …えっ？
若菜 つむぎ: 使われてる具材を考えると
若菜 つむぎ: 美味しくてコクのある\nフランス産発酵バターじゃなくて
若菜 つむぎ: もっとクセのないバターの方が\n相性がいいし
若菜 つむぎ: 味付けも具に合わせて\n甘めのケチャップを使うとか
胡桃 まなか: …………
阿見 莉愛: え、えっと…
阿見 莉愛: 私にはいつもどおり\n美味しく感じられるわよ？
阿見 莉愛: だから胡桃さんも\n気にしなくて…
胡桃 まなか: いえ、いいんです先輩
胡桃 まなか: つむぎさんが言っていることは\n全部当たってます
胡桃 まなか: ここまで的確にミスを指摘される\nなんて料理人失格ですよ
若菜 つむぎ: …ごめんね、まなか\nでも言わないといけなくて
若菜 つむぎ: これが、私が魔法少女になった\n願いの結果だから…
胡桃 まなか: つむぎさん、あなた…\n一体どんな願いを…？
若菜 つむぎ: えっとね…
若菜 つむぎ: …私の願いごとは…
若菜 つむぎ: まなかの役に立ちたい…\nまなかの料理を食べ続けたい…
若菜 つむぎ: …そのために
若菜 つむぎ: 私に、何ができるのかを\n知りたい…！
若菜 つむぎ: 魔法少女になった瞬間に\nぴかーってわかったんだ！
若菜 つむぎ: まなかの料理を\n食べ続けるためには…
若菜 つむぎ: 料理を食べたときの感想を\nいいことも悪いことも伝える！
胡桃 まなか: …まなかの料理のために\n魔法少女に…
胡桃 まなか: つむぎさん、あなたはそこまで…
若菜 つむぎ: あ、あれ？\nなんかまなか、責任感じてる？
若菜 つむぎ: 気にしないで！
若菜 つむぎ: 私は、私のために\n魔法少女になったんだから！
阿見 莉愛: あ、あの…\nひとつ聞きたいのだけど…
阿見 莉愛: 願いは、本当にそれだけなの？\n『何ができるか知りたい』って…
若菜 つむぎ: うん、そうだけど…
胡桃 まなか: ちょ、ちょっと待ってください\nということは…
胡桃 まなか: さっきの料理の\n感想というか、分析は…
胡桃 まなか: 魔法少女になる前から\n感じていたことなんですか？
若菜 つむぎ: 私、人よりちょっと\n舌が敏感みたいで…
若菜 つむぎ: 料理に何が入ってるか\n大体わかるから
胡桃 まなか: す、すごいじゃないですか…\n料理人にはうらやましい能力です
阿見 莉愛: ま、まぁ、私はつむぎさんの\n才能に気づいてましたわよ？
阿見 莉愛: …とはいえ、ここまですごいとは\n思ってませんでしたけれど…
胡桃 まなか: …………
胡桃 まなか: （どうしてでしょう…？）
胡桃 まなか: （なぜ料理の感想を\n包み隠さず伝えるのが）
胡桃 まなか: （まなかの料理を食べ続ける\nことにつながるのでしょうか？）

--- [Section 4] (Source: 330243-4.json) ---
旁白: 美味しかったねー
旁白: うんうん\nまた来ようねー！
胡桃 まなか: ありがとうございましたー
胡桃 まなか: …さて、と
若菜 つむぎ: 閉店作業だね！\nよーし、お片付けー
胡桃 まなか: …どうして当然のように\n閉店後も居座ってるんですか？
若菜 つむぎ: 心配しなくても大丈夫！
若菜 つむぎ: お母さんには夕食いらないって\nちゃんと連絡したから！
胡桃 まなか: 別にそういう心配はしてません
若菜 つむぎ: えっと、まなかのお父さんにも\n許可取ってるよ？
胡桃 まなか: …何やってるんですか\nお父さん…
若菜 つむぎ: むー…なんか冷たくない？\n片付けの手伝いに来てるのに！
胡桃 まなか: だって…
胡桃 まなか: あなたの本当の狙いは\nあまりものの料理でしょう？
若菜 つむぎ: えへへ…\nバレたか
胡桃 まなか: …まなかとしても食材を\n捨てずにすんで助かるんですが
胡桃 まなか: 毎回のようにたかられると\nこれはこれで釈然としませんね…
若菜 つむぎ: まなかー！食べさせてよー！\n私お腹空いちゃったよー！
胡桃 まなか: はいはい！\n好きなだけ食べてください！
胡桃 まなか: その代わり、片付けは\nちゃんと手伝ってもらいますよ！
若菜 つむぎ: はーい！
旁白: もぐもぐもぐもぐもぐもぐ\nもぐもぐもぐもぐもぐもぐ
若菜 つむぎ: うっ、こ、これは…！
若菜 つむぎ: 美味しすぎて心臓が…\n心臓が止まっちゃうぅ…！
胡桃 まなか: …で、ほかに感じたことは？
若菜 つむぎ: うーん…\n少しコンソメの味が気になるかも
若菜 つむぎ: 仕込みの材料…玉ねぎかな？\nいつもと違うの使ってるよね
胡桃 まなか: …相変わらずの味覚ですね\nええ、ちょっと変えてみました
若菜 つむぎ: これはこれで美味しいけど\nまなかの料理と相性よくないかも
胡桃 まなか: なるほど…\n参考になります
若菜 つむぎ: あー、でもこれはこれで最高…！\n朝起きて一番最初に飲みたい！
若菜 つむぎ: ホントまなかってすごいなぁ…\n毎日美味しくなってるよ…
胡桃 まなか: …半分くらいは\nあなたのおかげですよ
若菜 つむぎ: そうなんだ！\nやったー！
若菜 つむぎ: 私のアドバイス\n役に立ってるんだー！
胡桃 まなか: （…つむぎさん\nあいかわらずですね）
胡桃 まなか: （食べ物が絡むといつも\n楽しそうで、幸せそうで…）
胡桃 まなか: （この笑顔があったから\nまなかは…）
若菜 つむぎ: あ、あれ…？\nどうして黙っちゃうの？
若菜 つむぎ: もしかして私のアドバイス\nお節介だった、とか…？
胡桃 まなか: いえいえ
胡桃 まなか: あなたのアドバイスは\n大いに役立ってますけどね
胡桃 まなか: 助言のひとつやふたつで\n上手くなるほど…
胡桃 まなか: 料理は甘くありません
若菜 つむぎ: じゃあ、私のおかげって\nどういう意味？
胡桃 まなか: …………
胡桃 まなか: …まあ、料理人なんて\n単純ですからね
胡桃 まなか: 心から美味しいと\n言ってくれる人がいるだけで…
胡桃 まなか: やる気が湧いてくる\nものなんですよ
若菜 つむぎ: そうなんだ…！
若菜 つむぎ: それじゃあ、私頑張って\n美味しいって言い続けるね！
胡桃 まなか: つむぎさん、元々発言の半分は\n『美味しい』じゃないですか
若菜 つむぎ: だってまなかの料理\n本当に美味しいんだもん！
胡桃 まなか: …………まったく、この人は
胡桃 まなか: …ねえ、つむぎさん
若菜 つむぎ: 何、まなか？
胡桃 まなか: …今後、嫌というほど\nまなかの料理を食べさせますから
胡桃 まなか: 覚悟しておいてくださいね
若菜 つむぎ: おおっ、やったー！
若菜 つむぎ: 私まなかの料理なら\nいくらでも入っちゃうから…
若菜 つむぎ: 遠慮なく、美味しいもの\nたくさん食べさせてね！
若菜 つむぎ: はぁ～…美味しいものが\n毎日食べられて幸せだよ…！
