
--- [Section 1] (Source: 501509-1.json) ---
旁白: 第９章「夜明けのない世界」
やちよ: だから、実際に効力はあるわ
いろは: えっと…つまり…？
いろは: コルボーさんは…\nこの魔導書に書いてある魔法で
いろは: タルトさんを結界に閉じ込めて\n悪夢を見せてるんでしょうか？
やちよ: ええ\nそういうこと！
やちよ: それから…
やちよ: 赤と青のロウソクのことも\n書いてあったわ
やちよ: これは、魔法をかける相手の…
やちよ: つまりタルトの髪の毛を\n混ぜたロウソクだったのよ！
やちよ: 効果は想像通りよ
やちよ: このロウソクを使うことで\n夢の中に出入りできるようになる
いろは: そんないわくのある\nロウソクだったんですか!?
やちよ: ええ
やちよ: みたまは魔導書と一緒に\n偶然手に入れたんだろうけど
やちよ: 元は15世紀に、コルボー自身が\n使っていたものだと思うわ
いろは: え…
コルボー: だが、この世界でなら\n思う存分暴れられるっていうんで
コルボー: 話に乗ったのさ！
いろは: あ、そっか！
いろは: コルボーさんも\n私たちと同じように
いろは: ロウソクを使って\n夢の中へ入り込んでたんですね！
やちよ: そうよ
やちよ: ただ、コルボーは\n歓迎されざる客だから
やちよ: 私たちほど簡単に、タルトには\n近寄れないみたいだけどね
いろは: そういうことなんですね…
いろは: …あ、そういえば！
いろは: みたまさんから聞いた\nおまじないは関係あったんですか
やちよ: …何の関係もなかったわ
やちよ: このロウソクに火をつけるだけ\n置き方とかは自由みたい
いろは: おまじないは無関係で、使った\nロウソクが悪かったんですね…
いろは: でも、これで…
いろは: だいぶ解読できましたね！
やちよ: それが…\nそうでもないの
やちよ: もっと情報はあるんだけど\nちゃんと読める人はいないし…
いろは: そうですね…
いろは: …あ、でも
いろは: 夢のフランスには、いるかも？
リズ・ホークウッド: もしも、私の身に何かあって\n誰かの助けが必要なときは
リズ・ホークウッド: タルトの妹の“カトリーヌ”…
リズ・ホークウッド: 彼女にゆかりのある名の教会で\n祈りを捧げて
リズ・ホークウッド: 助けになってくれる存在と\n会えるかもしれないわ
いろは: リズさんが言ってた誰かが\n助けてくれるかもしれませんし！
やちよ: そうね
やちよ: ただ、確実に会えるとは\n言ってなかったし…
やちよ: まずはキューブに話しましょう
いろは: そうですね
やちよ: 夢の中に本を持ち込めるかしら…
いろは: 着ていた服はそのままでしたから
いろは: 本を抱えたまま\nロウソクに火をつけてみるとか？
やちよ: やってみましょうか
やちよ: うまくいくと、いいけど…

--- [Section 3] (Source: 501509-3.json) ---
いろは: …………
いろは: あれ…？
いろは: ここ\n夢のフランスじゃ、ない？
いろは: それに…\nやちよさんはどこ？
いろは: どうしよう\n真っ暗だし、方向も分からないし
いろは: こんなところで迷子？
やちよの声: いろは…聞こえる？
いろは: やちよさん！
いろは: やちよさん、どこですか？
やちよの声: 夢に入る前の空間みたいね
いろは: 何とか、合流したいですけど…
やちよの声: そこを動かないで
やちよの声: テレパシーの声が\n近くなる方向に動いてみるから
やちよの声: それまで、会話を続けましょう
いろは: はい！
いろは: やちよさん！
やちよ: 何とか会えたわね
いろは: ここ、どうやって出ましょう？
やちよ: 見当もつかないわね…
いろは: さっきと同じように
いろは: 誰かにテレパシーで\n呼びかけてみましょうか？
やちよ: …やってみましょう
やちよ: 誰か答えてくれるといいけれど
いろは: 誰か…\n聞こえますか!?
いろは: 聞こえるなら、返事して！
メリッサの声: あの…誰でしょう？
いろは: あ、返事が…！
メリッサの声: この声…いろはさん!?
いろは: メリッサさん！\n声が届いたんですね！
いろは: 私たち、迷子になってるんです！
いろは: 心の声を頼りに進むから\n私が呼んだら答えてください！
メリッサの声: …は、はい!?
メリッサの声: よく分からないけど\nやってみます！
やちよ: メリッサには、本当に\n魔法少女の素質があるみたいね
やちよ: 光が見えた\n“夢のフランス”に近づいてるわ
いろは: もう少しで着きそう！\nありがとう、メリッサさん！
メリッサの声: どうかご無事で…！
いろは: ようやく着きましたね！
やちよ: ええ\nメリッサ、ありがとう
メリッサ･ド･ヴィニョル: 無事でよかったです！
いろは: どうして今回だけ\n迷子になったんでしょうか…
やちよ: 私も、さっぱりよ
メリッサ･ド･ヴィニョル: いろはさん…\nその古そうな本は何？
いろは: あっ、これ…！
やちよ: 無事に持ち込めていたのね
いろは: はい！
いろは: メリッサさん、この本には
いろは: 敵が使った魔法の罠のことが\n書かれているんです
メリッサ･ド･ヴィニョル: …そうなんですか!?
いろは: そう、だから
いろは: キューブに\n読んでもらおうと思って…！
キューブ: …呼んだかい？

--- [Section 4] (Source: 501509-4.json) ---
キューブ: …なるほど\n魔女の結界を利用した魔法か
キューブ: この本のおかげで\nやっと把握できたよ！
キューブ: コルボーが仕掛けた\n魔法の罠の仕組みがね！
キューブ: 概要は、すでにキミたちが\n解読した通りだ
キューブ: 「コルボーは、魔導書に書かれた魔法で\n現実世界のタルトを\n覚めない眠りに誘った」
キューブ: 「そのとき、近くにいたメリッサやボクは\nタルトの夢に巻き込まれてしまった」
キューブ: 「そしてコルボーは、赤と青のロウソクで\n夢に入り込んで、戦いを仕掛けていたんだ」
キューブ: 「タルトを絶望に追い込むために…」
いろは: キューブまで\nいつのまにか夢の中にいて
いろは: いつ巻き込まれたのかは\n気づかなかったの？
キューブ: うん\nここに入り込む直前の記憶は
キューブ: 夢とつじつまが合うよう\n改竄されたようだね
やちよ: キューブでさえ、そうなのなら…
キューブ: タルトやメリッサは、これが夢と\n思いもしなかっただろうね！
キューブ: ここでは、魔女が隠れもせず\n人々に堂々と姿を見せるけれど
キューブ: 夢の主が魔女の結界に\n囚われているなら、それも納得だ
キューブ: この夢の中全体が\n結界のようなものだからね！
やちよ: …なるほどね
やちよ: 他に分かったことはある？
キューブ: 術者であるコルボーの\n使える魔法についてだね
キューブ: この夢の中で、彼女は\n無数の使い魔を使役したり
キューブ: 他人の記憶の中から\n敵を複製したりもできるみたいだ
いろは: え、それじゃ
いろは: ここで戦った神浜の魔女たちは\n私たちの記憶のコピーなの？
キューブ: うん、そうだね\nそういう意味では
キューブ: 未来が不安定になった原因は\nキミたち自身だと言えなくもない
いろは: ええっ！
やちよ: そうか…そうよね
やちよ: これは本来、タルトたちの時代に\n終わっていた事件なのよ
やちよ: それが何百年も経って\nコルボーのロウソクが見つかった
やちよ: …それを私たちが手にして\nタルトの夢に入ったことで
やちよ: 過去が変わって\n未来が揺らぎ始めたのね
キューブ: ひとつの可能性にすぎないけどね
キューブ: キミたちが来た時点で\n戦況はかなり悪かったわけだし
キューブ: …ただ、魔女たちの出現が\nダメ押しになったのかもしれない
いろは: そんな…
キューブ: でもマイナス面ばかりじゃないさ
キューブ: フランス軍に、他の魔法少女が\nいない現状を考えると
キューブ: キミたちは、この戦況を覆す\n唯一の切札でもあるんだから！
キューブ: キミたちが来なければ
キューブ: もっとひどい状況になっていた\n可能性が高いし
キューブ: むしろキミたちこそが
キューブ: フランスを救う宿命を負った\n救世主なのかもしれないよ？
メリッサ･ド･ヴィニョル: 天使様、それで…
メリッサ･ド･ヴィニョル: タルトを救う方法は…\nあるのでしょうか!?
キューブ: うん、それも\nこの本に書いてあった
キューブ: タルトを目覚めさせるには…
キューブ: “聖別された鐘”を鳴らせば\nいいみたいだ！
やちよ: 聖別された…鐘？
いろは: それって…何のこと？
