
--- [Section 1] (Source: 330273-1.json) ---
旁白: 某月某日\n神浜市内某所
旁白: 某ファミリーレストランにて…
旁白: 三回目の会合
旁白: …ただし、出席者は…
常盤 ななか: 今回はハッキリと\n見させていただきました
常盤 ななか: あきらさんもかこさんも\n美雨さんも驚いてました
常盤 ななか: …もちろん、私も
遊佐 葉月: …まあ今まで三人で\nやってたんで、それなりには…
常盤 ななか: …そして無事に\nグリーフシードも手に入れて…
遊佐 葉月: 一件落着…でしたね～！
常盤 ななか: …とにかく、私たちは\n感心しきりだったのです
常盤 ななか: 特に私は…
常盤 ななか: …あなたの“手口”に…
遊佐 葉月: …ちょっと～！\nまた、手口って…！
常盤 ななか: …いえ…やはりこの言い方で\n正しいと思います
遊佐 葉月: …え？
常盤 ななか: …あなたの…“手口”です

--- [Section 3] (Source: 330273-3.json) ---
常盤 ななか: …とにかく、私たちは\n感心しきりだったのです
常盤 ななか: 特に私は…
常盤 ななか: …あなたの“手口”に…
遊佐 葉月: …ちょっと～！\nまた、手口って…！
常盤 ななか: …いえ…やはりこの言い方で\n正しいと思います
遊佐 葉月: …え？
常盤 ななか: …あなたの…“手口”です
遊佐 葉月: …………
遊佐 葉月: …う～ん…
遊佐 葉月: …どういうことですかね？
常盤 ななか: …今回のことは、すべて\nあなたの思惑通りで推移した…
常盤 ななか: …違いますか？
遊佐 葉月: …アタシの思惑…ですか？
常盤 ななか: …ここでの最初の話し合い…
常盤 ななか: 美雨さんが強硬に出たのを見ると\nあなたはあやめさんを促した…
遊佐 葉月: …あやめはどう思う？
三栗 あやめ: 葉月が揉めるって言うのなら\n揉めるね！
常盤 ななか: あそこから風向きが変わり\n話もあらぬ方へ転がっていった…
遊佐 葉月: シミュレーションだよ\n時間とか計って…
遊佐 葉月: ちょっとした\nじゃんけん大会をさ…！
常盤 ななか: この流れを導いていたのは\n葉月さん…ですよね？
遊佐 葉月: …いや、そんなことは…
常盤 ななか: 一度流れを崩して\n事をリセットする…
常盤 ななか: 思えば、最初に会った時も\nこういうことをやられたような…
遊佐 葉月: …そうでしたっけ？
常盤 ななか: このなし崩しになった事実を\n私たちに植え付けた後…
常盤 ななか: あなたは改めて\n新しい案を提示した…
遊佐 葉月: 別々のグループが\n魔女の前で会いました～…
遊佐 葉月: そんで～…
志伸 あきら: …そんで？
遊佐 葉月: 戦いに参加した人全員に\nグリーフシードの権利がある…！
夏目 かこ: 全員…ですか…？
純 美雨: …それはつまり、戦いたい者が\n手を上げればそれでいい…カ？
遊佐 葉月: そういうこと
常盤 ななか: …これが\nあなたにとっての本命…
遊佐 葉月: …………
常盤 ななか: …どうしてそうやって\n仕向けたんですか？
常盤 ななか: 今日は、そのことを\n伺いたかったのです…
遊佐 葉月: …………
常盤 ななか: …お聞かせいただけますか？
遊佐 葉月: …………
常盤 ななか: …どうでしょうか？
遊佐 葉月: …………
遊佐 葉月: …それは…

--- [Section 4] (Source: 330273-4.json) ---
遊佐 葉月: …………
遊佐 葉月: …それは…
遊佐 葉月: …仕向けてなんていませんよ～！
常盤 ななか: …………
常盤 ななか: …そうですか
遊佐 葉月: …ただ…
常盤 ななか: …ただ？
遊佐 葉月: このは…なんですけど\nちょっと性格が内向きというか…
遊佐 葉月: あんまり社交的じゃないんですよ\n…以前よりかはマシなんですが…
遊佐 葉月: んで、今回の件で少し\n心を開いた所もあって…
常盤 ななか: …それは？
遊佐 葉月: 三人以外と組んで戦うの\n初めてなんですよ
遊佐 葉月: 二回目の話し合いの後とか\n結構ブツブツ言われたんですよ
遊佐 葉月: 『やっぱり三人がいい』とか\n『中止にできないか』とか
常盤 ななか: まあ…
遊佐 葉月: でも、この前の魔女との戦いから\nこのはも少し変わったというか…
遊佐 葉月: ななかさんたちと一緒に\nあれこれ話したり戦ったりして…
遊佐 葉月: なんというか…
遊佐 葉月: …楽しかったんじゃないかな～\nって思うんです
常盤 ななか: …楽しかった…ですか
遊佐 葉月: このはってあんまり\n顔に出さないタイプですけど…
遊佐 葉月: 楽しそうだったなって\nアタシは感じるんです、何となく
常盤 ななか: …………
遊佐 葉月: …神浜の魔法少女と繋がるのは\nアタシらにとってプラス…
遊佐 葉月: そう考えてます
遊佐 葉月: …だから\n結果オーライだなって！
遊佐 葉月: アタシが考えてることなんて\nそれくらいですよ～
常盤 ななか: …そうですか！
常盤 ななか: であれば、良かったですね！\n今後ともよしなに！
遊佐 葉月: いや、こちらこそ！
常盤 ななか: はい！\nうふふ…！
遊佐 葉月: あはは…！
遊佐 葉月: （…とニコニコしながら目の奥が\n笑ってないよ、この人…）
遊佐 葉月: <red>常盤ななか</red>はやはり食えない人物…
遊佐 葉月: けど、興味深い人物でもある…！
遊佐 葉月: 今後も他の魔法少女との接触を続ける
遊佐 葉月: 今回の会合はここまでで終了した…
旁白: <以上、遊佐葉月のメモ帳より抜粋＞
遊佐 葉月: ま、魔女は倒したんだし\nOKってことでお願いしたいね～
