
--- [Section 1] (Source: 330271-1.json) ---
旁白: 某月某日\n神浜市内某所
旁白: 某ファミリーレストランにて…
旁白: 一回目の会合
遊佐 葉月: はい！じゃあ始めましょうか\nえーまず…
純 美雨: 私から提案するヨ
遊佐 葉月: お、いきなり…
純 美雨: 答えは簡単ネ
遊佐 葉月: ほう！\nじゃあ、聞かせて聞かせて…！
純 美雨: それは…
純 美雨: …『早いもの勝ち』ヨ

--- [Section 3] (Source: 330271-3.json) ---
純 美雨: それは…
純 美雨: …『早いもの勝ち』ヨ
志伸 あきら: え…？
遊佐 葉月: …それだと変わりがない\nというか…
純 美雨: 私、この前、あなたたちが\n先に倒したこと…認めてるヨ
純 美雨: この世の中\n競争はどこにでも付きものネ
純 美雨: …私、魔法少女の世界も\n同じだと考えているヨ
純 美雨: 獲物を狩る…これまさに\nサバイバルと同じことネ！
純 美雨: だたら、早いもの勝ちが\n単純で公平なルールネ
夏目 かこ: で、でも、それをお互いが\n納得できる形でっていうのが…
純 美雨: 私、納得してるヨ
常盤 ななか: …ふふ
常盤 ななか: …美雨さんの言うことも\n一理あると思いますわ
夏目 かこ: な、ななかさんも～！
純 美雨: だから、先に魔女の前現れた\n魔法少女が一番
純 美雨: あとは手出し無用\nこれでいいネ
遊佐 葉月: …な、なるほどね～\nまあ、確かにそういう考えもね！
遊佐 葉月: ただなぁ～…
純 美雨: 何カ？
遊佐 葉月: どちらが先とか…\n誰が判断して決めるのかな～って
純 美雨: 判断？\nそれは…
純 美雨: …それぞれが判断するネ
遊佐 葉月: ん～、それだと結局\n言ったもん勝ちでしょ？
遊佐 葉月: それだとやっぱり\n揉めそうだな～って…
純 美雨: …それでも…！
遊佐 葉月: …あやめはどう思う？
三栗 あやめ: 葉月が揉めるって言うのなら\n揉めるね！
純 美雨: 待つネ…！\n私は…
三栗 あやめ: こういう時はさ\nやっぱりアレだよ…！
夏目 かこ: あやめちゃん\n何かアイデアがあるの？
三栗 あやめ: あるよ！任せてよ！\nあちしの勘がこう言ってるよ…！
夏目 かこ: 何て言ってるの!?
三栗 あやめ: …『じゃんけんで決めれば\nいいじゃない』って！
夏目 かこ: じゃんけん…！
志伸 あきら: ！
志伸 あきら: （…ふ、普通～！）
純 美雨: もったいぶって\n言うことじゃないネ…
静海 このは: …でも、分かりやすい\n解決方法ではあるわ
静海 このは: さすがあやめね…！
三栗 あやめ: へへ～！
夏目 かこ: あやめちゃん、相変わらず\nこのはさんに愛されてるね…！
志伸 あきら: （…か、過保護～！）
純 美雨: …そもそも！
志伸 あきら: うわぁ！\n声大きいよ！
志伸 あきら: （あー…美雨が\nヒートアップするパターンだ…）
純 美雨: 戦いの場でじゃんけんやってる\n余裕はないヨ…！
遊佐 葉月: …あー、じゃあ試しに\n今、やってみようよ！
純 美雨: …は？\nどうゆうことカ…？
遊佐 葉月: シミュレーションだよ\n時間とか計って…
遊佐 葉月: ちょっとした\nじゃんけん大会をさ…！

--- [Section 4] (Source: 330271-4.json) ---
遊佐 葉月: はい！じゃあ決勝は\nこのふたりで戦います！
遊佐 葉月: あやめVS美雨！
三栗 あやめ: よっしゃー！
純 美雨: …なんでこんなことなるネ…
静海 このは: あやめ…しっかりね
三栗 あやめ: 任せといてよ～！
常盤 ななか: 美雨さん\n勝負は勝負ですからね
志伸 あきら: （…なんだかんだで\nななかも盛り上がってる…？）
夏目 かこ: …う…\nど、どっちも頑張ってー！
遊佐 葉月: じゃあいくよ！
遊佐 葉月: …最初は…
三栗 あやめ: グー！
純 美雨: …ジェンタオ・シートウ…！
遊佐 葉月: ぽん！
志伸 あきら: あ！
静海 このは: …あやめがグー…
夏目 かこ: 美雨さんが…チョキ！
三栗 あやめ: むふふ～！
純 美雨: ……!?
遊佐 葉月: 決まった！この勝負\nあやめの…
純 美雨: …まだネ
純 美雨: はっ！
三栗 あやめ: ぬぬっ!?
夏目 かこ: 美雨さんがチョキで\nあやめさんのグーを挟んだ…!?
純 美雨: 蒼碧（そうへき）拳奥義…
純 美雨: 剪刀逆転！\nほあぁぁぁっ！
三栗 あやめ: なあぁぁぁ！
志伸 あきら: 指だけで相手のグーを\nパーに変えた…!?
純 美雨: 私の勝ちネ…
三栗 あやめ: か、勝ちじゃないよ～！
静海 このは: 今のはあやめの勝ちよ…！
純 美雨: 勝負は最後まで\n分からないものヨ…！
志伸 あきら: 美雨、さすがに今のは…
常盤 ななか: チョキがパーに勝つ…\nこれは決まりごとですわ
夏目 かこ: ななかさん～！
三栗 あやめ: ぬがーっ！\nなしなし！今のはなし！
純 美雨: なしなのはなしネ！
遊佐 葉月: はーいストーーーーーップ！
三栗 あやめ: 葉月～！
純 美雨: …………
遊佐 葉月: …皆さん、他のお客さんに\n迷惑かけますから、まずは…
静海 このは: …………
静海 このは: …落ち着きましょうか
志伸 あきら: …美雨
純 美雨: …分かたヨ
三栗 あやめ: むぅ～！
夏目 かこ: あやめちゃん…！
三栗 あやめ: …もう…！
遊佐 葉月: はい、どうもです\n落ち着きましたね～
遊佐 葉月: …落ち着いたところで\n今日はお開きにしましょう
志伸 あきら: …え！
遊佐 葉月: 場がちょっと荒れちゃいました\nなので、仕切り直しで…
遊佐 葉月: 今日の議題は\n皆さん、持ち帰りでお願いします
遊佐 葉月: またお時間ください！\n…いいですか、ななかさん
常盤 ななか: …私は構いません\n…どうですか、皆さん
志伸 あきら: ボクは大丈夫だよ…
夏目 かこ: わ、私も！
純 美雨: モヤモヤしてるネ\n…次はスキリ決めるよ…！
遊佐 葉月: はい、じゃあアタシらはお先に！\n…ほら、行くよ、あやめ！
三栗 あやめ: う～！
静海 このは: …後でアイス\n買ってあげるからね
常盤 ななか: …………
常盤 ななか: …これはまた…\nなかなか…ですわね…
遊佐 葉月: 常盤ななかね～。綺麗な顔して\n結構したたかな感じじゃないの…
