
--- [Section 1] (Source: 330381-1.json) ---
旁白: ＜工匠学舎＞
旁白: ＜歴史研究部・仮部室＞
古町 みくら: この図書館には置いてないし\n明日、出直すしかないか
古町 みくら: （あと…この図書館でも\n調べられることは…？）
古町 みくら: （あの裏山のあたりの\n昔の地形かな）
古町 みくら: （田畑だったとか\nまだ開けてなかったとか…）
古町 みくら: （この本が分かりやすそうね\n最近の航空写真も載ってるし）
古町 みくら: …………
古町 みくら: えっ!?

--- [Section 4] (Source: 330381-4.json) ---
古町 みくら: えっ!?
古町 みくら: （これって\nあの裏山の航空写真よね？）
古町 みくら: （それも最近の…）
古町 みくら: （えー、でも…そんなこと\nありうるのかな）
古町 みくら: この裏山って…
古町 みくら: 古墳よね？
古町 みくら: …………
古町 みくら: （いえいえいえ…）
古町 みくら: （たまたま自然に\n丸い形の山だというだけね）
古町 みくら: （だいたいこんな大きな古墳が\n今まで未発見なはずないし…）
古町 みくら: （周りの土地と道が\n妙に人工的な配置なのも）
古町 みくら: （たまたまそういう風に\n区画整理されたからで…）
古町 みくら: （じゃあ…）
古町 みくら: （あの祠は？）
古町 みくら: …………\n…………
古町 みくら: 古文書にあたってみないと\nまだ分からないけれど
古町 みくら: 由来の諸説ある\n祠が置かれた山、か…
古町 みくら: （古墳が古墳であることが\n何百年かのうちに忘れられ）
古町 みくら: （漠然と「聖なる山」として\n畏敬や忌避の対象となり）
古町 みくら: （後付けの伝承とともに\n祠が建立される…）
古町 みくら: （よくあるパターンだけど\n決めつけるには早すぎるかな）
古町 みくら: まずは…\n文献調査続行ね！
古町 みくら: えっ…この祠って、\nもしかして…！
