
--- [Section 1] (Source: 330062-1.json) ---
旁白: 初识之后过了几天
胡桃爱香: 对、对不起！\n真的很不好意思！
龙城明日香: 你是怎么了啊，\n爱香！
木崎衣美里: 这个蛋包饭……吧唧……真的……\n吧唧……超级甜啊！
龙城明日香: 话虽如此……\n但你还在吃啊！
木崎衣美里: 我居然\n能接受这个味道！
胡桃爱香: 真的很抱歉！\n是爱香的错！
胡桃爱香: 因为爱香做饭的时候\n注意力不集中……
木崎衣美里: 总觉得～\n你从刚才开始就有点心不在焉的。
美凪纱纱罗: 诶……是吗？
木崎衣美里: 嗯，我是这么觉得的。\n发生什么事了吗？
胡桃爱香: 对不起……\n真是……丢人……
胡桃爱香: 其实……

--- [Section 3] (Source: 330062-3.json) ---
美凪纱纱罗: 新菜单？
胡桃爱香: 是的……
胡桃爱香: 改良版\n胡桃西餐厅传统蛋包饭！
胡桃爱香: 本来应该是这样的菜品……
龙城明日香: 你是……\n想不出新菜单了吗？
胡桃爱香: 不，不是的……\n菜单已经想好了……
美凪纱纱罗: 那为什么？
胡桃爱香: 对了！
胡桃爱香: 就当是\n为刚才的事道歉……
胡桃爱香: 请务必尝尝\n爱香研制的新菜品！
木崎衣美里: 那是什么！好像很有趣嘛！\n我都心跳加速了！
龙城明日香: 机会难得……\n那就尝尝吧？
美凪纱纱罗: 是啊……\n那就让我们尝尝吧。
胡桃爱香: 好的！\n我马上端过来！
胡桃爱香: 让你们久等了！
胡桃爱香: 它名叫……\n爱香特制蛋包饭（暂定）！
美凪纱纱罗: 哎……这上面的酱汁，\n以前从没在这里见过呢。
龙城明日香: 这确实称得上\n是新菜品！
木崎衣美里: 那么……\n我开动咯！
木崎衣美里: 啊——
美凪纱纱罗: 吧唧……
龙城明日香: 吧唧吧唧……
木崎衣美里: 吧唧吧唧吧唧……
木崎衣美里: ……！
木崎衣美里: 超好吃！\n真的超好吃！
美凪纱纱罗: 这个酱汁，\n又甜又辣，美味极了！
龙城明日香: 和松软的鸡蛋还有鸡肉饭\n很配啊！
美凪纱纱罗: 总觉得\n有一股异域风情……
龙城明日香: 但是却守住了\n西餐的底线！
木崎衣美里: 所以超好吃！\n好吃到爆炸！
美凪纱纱罗: 这道菜这么好吃，\n到底还有什么问题！？
胡桃爱香: 我对这道菜本身\n也很有自信……
胡桃爱香: 但是……
胡桃爱香: 这道菜究竟\n是否适合胡桃西餐厅呢？
美凪纱纱罗: 是否……适合？
胡桃爱香: 这家店有传统，\n有着应当守护的传统……
胡桃爱香: 虽然偶尔也会稍作冒险，\n但是，这道菜就连我自己也……
龙城明日香: 你担心\n这太超越传统了？
胡桃爱香: 是的……
龙城明日香: 原来如此……\n我也明白传统的重要性……
美凪纱纱罗: 是吗……考虑到这一点，\n确实会很犹豫啊……
胡桃爱香: 这种菜品……果然……
木崎衣美里: 嗯……

--- [Section 4] (Source: 330062-4.json) ---
木崎衣美里: 嗯……
木崎衣美里: 也没什么问题吧？
胡桃爱香: 诶？
美凪纱纱罗: 衣美里，\n你的意思是……
木崎衣美里: 哎呀，\n因为这个超好吃啊！
木崎衣美里: 我很喜欢这个味道！超爱超爱！
龙城明日香: 但是\n胡桃西餐厅的传统……
木崎衣美里: 因为它超好吃，\n所以也想让其他人尝尝啊。
木崎衣美里: 该怎么说呢，\n好吃就是好吃……
木崎衣美里: 琐碎的事就不要计较了！\n放进菜单里吧！
木崎衣美里: 一鼓作气！\n上吧上吧！
美凪纱纱罗: 总觉得\n进度太快了……
胡桃爱香: …………
胡桃爱香: 是呢……
龙城明日香: 诶？
胡桃爱香: 是啊！
胡桃爱香: 果然，\n不能总被传统所束缚……
胡桃爱香: 如果不去挑战新事物，\n反而无法守护这家餐厅！
胡桃爱香: 我去向爸爸\n提议这道菜！
胡桃爱香: 谢谢你们\n鼓励我！
胡桃爱香: 好！\n我燃起斗志了！
木崎衣美里: 好耶好耶！\n是不是心跳加速了？
胡桃爱香: 心跳加速了！
木崎衣美里: 我也连带着心跳加速了！\n好开心啊！
美凪纱纱罗: 衣美里果然……
龙城明日香: 是的……
龙城明日香: 绝对没错！
龙城明日香: 衣美里！
木崎衣美里: 嗯？什么？
龙城明日香: 你或许能够\n解救迷惘的人们！
木崎衣美里: 嗯？\n什么意思？
龙城明日香: 让我们将名为木崎衣美里的神轿……\n抬起来吧！
木崎衣美里: 嗯嗯？\n神轿？
木崎衣美里: …………
木崎衣美里: 要办庙会吗？
木崎衣美里: 事情怎么变成这样了啊。\n不过，我是无所谓啦……
