
---[Section 1] (Source: 101405-1_XyQZg.json) ---
ういの幻影: 運命を変えたいなら神浜市に来て\nこの町で魔法少女は救われるから
杏子: それに、不幸の呪いを解けるのは\n限りがあるかもしれないからね
鶴乃: ほらー、結局そうなんだね！\n自分本位、自己中なんだね！
鶴乃: 魔法少女はね正義の味方として\nみんなのために戦うもんだよ！
鶴乃: そのための最強だよ！
フェリシア: うるっせーな！\nみんなとか今は関係ねーだろ！
杏子: つか何、ひとりで騒いでんのさ
鶴乃: 騒いだ方がいいから\n騒いでるの！
杏子: はぁ!?\n何言ってんだアンタ
鶴乃: あーもう！\nいーーから、もっと騒いで！
杏子: ちょ、\nワケわかんねー！

---[Section 7] (Source: 101405-7_XyQZg.json) ---
やちよ: この状況で、\n鶴乃は何を騒いでるの…！
いろは: フェリシアちゃんも…\nこんな時に何してるんだろ…
月夜: …………
月咲: …………
いろは: （ふたりの表情が曇った…）
いろは: あ…
やちよ: あ…
やちよ: 助手さんも気づいた…？
いろは: はい！\n鶴乃ちゃんが助けてくれました！
やちよ: えぇ、あの子、\nやってくれたわ！
鶴乃: わーーーーーーーーー!!
フェリシア: ぐぁあああああああああ!!
杏子: あーーーーーーーーーー!!
杏子: はぁ…はぁ…
杏子: 騒げって、\nあたし何やってんだ…？
鶴乃: ほら、もっと騒いで！\nノンストップで常に!!
杏子: ちょっとは説明ぐらいしろよ！
鶴乃: 反響をかき消すんだよー！
杏子: なっ、そういうことかよ！\n早く言えよ！

---[Section 8] (Source: 101405-8_XyQZg.json) ---
やちよ: 鶴乃たちの喉が潰れる前に\n倒すわよ！
やちよ: 私が一気に前に出て仕掛けるわ
いろは: 私は後方からサポートします！
やちよ: 頼んだわよ！
いろは: はい！
月咲: ウチらの強みが潰された
月夜: まさかあんな力技で…\nという感じでございますね…
月咲: ど、どうしよっか？
月夜: 立ち向かう他ございません…

---[Section 9] (Source: 101405-9_XyQZg.json) ---
月咲: 月夜ちゃん！
月夜: はい、今なら…！
やちよ: 甘い！
月夜: かふっ…！
月咲: 月夜ちゃん!!
やちよ: 笛は構える挙動がある分\n一度離してしまうと不利ね
月咲: くっ、七海やちよぉぉお！
いろは: あぶないっ！
月咲: きゃわふっ！
いろは: はぁ…\n私も一応いるんですけど…
やちよ: ありがとう、環さん
いろは: はいっ！
やちよ: これで形勢逆転ね…
やちよ: 絶交ルールに口寄せ神社\nそしてミザリーウォーターも
やちよ: このまま潰させてもらうわ
月夜: くっ…
月咲: ウチらはこのままじゃ\n終われない…
月夜: マギウスのお三方から\n課せられた責務を
月夜: 放棄するわけにはいかない…
いろは: これ以上は\n止めた方がいいですよ
いろは: ソウルジェムが…\nもう魔力が残ってない…
月夜: ふふふっ
いろは: な、何が、\nおかしいんですか？
月夜: それは好都合にございます…
月咲: うん、ウチらにとっては好都合
月夜: ねー
いろは: え？
やちよ: ソウルジェムが穢れて\n好都合だなんて…
やちよ: あなたたち…もしかして…
月夜: みなさんとても\n幸運でございますね
月咲: 不幸なのに幸運だね
月咲: なんたって、\n神浜が“<red>解放の場である証拠</red>”を
月夜: その目で\nご覧になれるのですから

---[Section 10] (Source: 101405-10_XyQZg.json) ---
鶴乃: やちよー！\nこのふたりもしかして！
やちよ: えぇ、環さんのときと同じよ\nアイツを呼び出すつもりだわ
鶴乃: よーっし\nいろはちゃんもやっちゃえ！
いろは: そんな、急に言われても\nできませんよ！
やちよ: できてもダメよ！
やちよ: あんなソウルジェムが\n穢れきって使える技なんて
やちよ: 不吉でしかないわ…

---[Section 11] (Source: 101405-11_XyQZg.json) ---
いろは: う、ぅぅ…
やちよ: 環さん…大丈夫…？
いろは: は、はい、なんとか…\n体はボロボロですけど…
やちよ: 以前は環さんが出した\nアレに助けられたけど
やちよ: やられる側になると、\n相当こたえるわね…
杏子: オマエもアレをだしたのか？
いろは: は、はい…
杏子: なるほどね…
杏子: マミが言ってた人型の魔女\nってのはアンタのことか…
杏子: ったく、\nヤバさだけは痛感したよ…
いろは: マミって…
マミ: 私は“<red>巴マミ</red>”\n見滝原の魔法少女よ
いろは: 知り合いだったんですね
杏子: まぁ、そんなところだよ
いろは: えっと…
杏子: “<red>佐倉杏子</red>”だ
いろは: 佐倉さんも、\n人型の魔女だって思いますか？
杏子: …いいや、正直なところ\n魔女だとは思えないな…
杏子: 新しい技だって言われても\n納得できねーけどさ…
月夜: そう、新しい技でも魔女でも\nございません
月咲: うんうん、ウチらのこれは\n神浜市で魔法少女が救われる
月咲: <red>解放の証</red>だから
杏子: そんな事言われても\nピンとこないんだよね
月夜: これは感情の映し\n私たち自身を解き放ったもの
月咲: それ故に我々は、\nこれを“<red>ドッペル</red>”と呼ぶんだよ
月夜: ねー
やちよ: その、解き放った自分が\n“<red>解放の証</red>”ですって…？
月咲: あなたには分かるでしょ？
月夜: 七海やちよさんなら分かると\n思いますけど？
月咲: ねー
月咲: 証明なら簡単だよ
月夜: 私たちのソウルジェムは\n美しく浄化されてございます
いろは: あ、私のときも…
月咲: あなたもウチらと同じで\n<red>ドッペル</red>を出したんだね
いろは: はい…
いろは: その、解放っていうのは
いろは: グリーフシードを使わなくても\n浄化出来るってことですか…？
月夜: やはり無知でございますね\nそれならよろしいでしょう
月咲: ウチらが教えてあげよっか
やちよ: ――っ!?
やちよ: その必要はないわ！
やちよ: いえ、というよりも
やちよ: あなたたちの無駄口を\n聞いている時間がもったいない
月咲: その状態で\nまだウワサを狙ってるの？
月夜: 状況の判断も出来ないベテランは\n実に滑稽にございますね
月咲: ねー
月夜: しかし、その滑稽さも\n眼福にございますね
月夜: さぁ、お通りになるなら\n命を賭してお臨みくださいませ
黒羽根: …………
いろは: まだ、他にも残ってた!?
いろは: や、やちよさん、これ！
やちよ: 残り30分…\nもうリミットまで時間がない…
やちよ: 急いで片付けるわよ！
杏子: いよいよ\nヤバくなってきたな
杏子: ったく、噂ひとつで\nこんな面倒になるなんて
杏子: 変な町だよ、まったく

---[Section 12] (Source: 101405-12_XyQZg.json) ---
やちよ: 環さんは\n黒いヤツを牽制して！
やちよ: この姉妹は\n私と鶴乃で相手をするわ！
いろは: はい！
鶴乃: あいさー！
やちよ: フェリシアは環さんが牽制した\n相手を確実に無力化して！
フェリシア: 手加減は苦手だけど\nドカンといくのはまかせとけー！
杏子: ちょっと待ちな
フェリシア: わっ、なんだよ
フェリシア: 放せよ、赤いねーちゃん！
杏子: なぁ、こっからは\nさっきの続きといこうじゃないか
フェリシア: あぁ？
杏子: 残り時間が\n30分を切っちまった
杏子: 今、全員でアイツらと\n戦うのは無駄って言ってんだよ
フェリシア: でも、オレ\n潰せって言われたからさ
杏子: それはそれだろ？
杏子: もう少し、自分たちのことも\n考えた方がいいって
杏子: 不幸になったら困るだろ？
フェリシア: …うん、やだ
杏子: それなら、\nこの場はアイツらに任せてさ
杏子: あたしと一緒に\nウワサとやらをぶっつぶそうぜ
杏子: それに、オマエがさっき\nしてたことの続きだろ？
フェリシア: …そっか
フェリシア: それもそうだな！
杏子: よし、善は急げだ
杏子: 隙を見て駆け抜けるぞ
フェリシア: おう！
やちよ: フェリシア！\n何してるの早くなさい！
やちよ: フェリシア!!
やちよ: なっ！
やちよ: あの子…と、佐倉さん!?
月咲: よそ見だなんて、\nなめられたね月夜ちゃん！
月夜: まって月咲ちゃん！
月咲: ――っ!?
月夜: あのふたり…\nウワサの方に向かってる！
やちよ: …いまね

---[Section 13] (Source: 101405-13_XyQZg.json) ---
やちよ: 相手もよそ見だなんて\nこちらも舐められたものね
鶴乃: そうだね、やちよししょー！
月夜: しまった！
月咲: 月夜ちゃん！

---[Section 14] (Source: 101405-14_XyQZg.json) ---
月夜: あ”ああああぁっ!!
やちよ: 遠慮無しにやらせてもらったわ
月夜: くぅっ…
やちよ: 魔力があっても、足がやられたら\nうまく動けないでしょ？
月夜: くっ…非道でございます…
やちよ: <red>ドッペル</red>で殺そうとした\n人の言う台詞じゃないわよ
月咲: くっ、はっ…！
鶴乃: ごめんね、そこ突いたら\nしばらく呼吸しづらいと思うけど
鶴乃: 我慢して！
やちよ: 環さん、\n今のうちに行きなさい！
いろは: え、でも！
やちよ: 今なら、私と鶴乃でも\n十分に戦えるわ
鶴乃: 今回は、いろはちゃんたちが\n被害者だからねー！
鶴乃: がんばって！
フェリシア: いろは、お前もこい！
杏子: おまっ、何勝手に！
いろは: フェリシアちゃん…
いろは: はい…
いろは: やちよさん、鶴乃ちゃん\nそっちはお願いします！
