
---[Section 1] (Source: 330062-1.json) ---
旁白: 最初の出会いから数日後
木崎 衣美里: もぐもぐもぐ…
木崎 衣美里: …！
美凪 ささら: …しょっぱーい！
竜城 明日香: わ、私のは辛いです…！
木崎 衣美里: あーしのは甘いよ！\n激甘！
胡桃 まなか: …ん？
美凪 ささら: しょっぱい！
竜城 明日香: 辛い！
木崎 衣美里: 甘いよー！
胡桃 まなか: …え…えー！
胡桃 まなか: ちょっとごめんなさい！\n…もぐ！
胡桃 まなか: …しょっぱい！
美凪 ささら: 言ったでしょ！
胡桃 まなか: ご、ごめんなさい！\n大変失礼しましたー!!
竜城 明日香: どうしたんですか\nまなかさん！
木崎 衣美里: ホント…もぐ…超甘いよ…\nもぐ…このオムライス！
竜城 明日香: …って言いながら\n食べてますね！
木崎 衣美里: あーし、これ\n意外とイケるかも…！
胡桃 まなか: 本当に申し訳ありません！\nまなかが悪いんです！
胡桃 まなか: まなかが\nぼんやり料理してるから…
木崎 衣美里: …なんかさー\nさっきからボケーっとしてたよね
美凪 ささら: え…そうだったの？
木崎 衣美里: うん、なんかね\n…なんかあったとか？
胡桃 まなか: すいません…\nホント…情けないです…
胡桃 まなか: 実は…

---[Section 3] (Source: 330062-3.json) ---
美凪 ささら: 新メニュー？
胡桃 まなか: そうなんです…
胡桃 まなか: 洋食ウォールナッツ伝統の\nオムライスをアレンジ！
胡桃 まなか: したメニューなんですが…
竜城 明日香: …新メニューが\n思いつかない…とか？
胡桃 まなか: いえ、違うんです…\nそれは思いついてます…
美凪 ささら: じゃあ、なぜ…？
胡桃 まなか: そうだ！
胡桃 まなか: 先ほどのお詫びといっては\nなんですが…
胡桃 まなか: 是非、まなかが開発した\n新メニューを食べてください！
木崎 衣美里: 何それ！楽しそうじゃん！\nあーし、ドキドキしてきた！
竜城 明日香: …では、せっかくですから\n…ねぇ？
美凪 ささら: そうだね…\nじゃあ、いただこうかな
胡桃 まなか: 分かりました！\nすぐお持ちしますからね！
胡桃 まなか: お待たせしました！
胡桃 まなか: 名付けて…\nまなかスペシャル（仮）です！
美凪 ささら: へー…このかかっているソース\n今までここで見たことないね…！
竜城 明日香: 確かに\n新メニューですね、これは！
木崎 衣美里: んじゃ…\nいっただっきまーす！
木崎 衣美里: はむ！
美凪 ささら: もぐ…
竜城 明日香: もぐもぐ…
木崎 衣美里: もぐもぐもぐ…
木崎 衣美里: …！
木崎 衣美里: 超ウマ！\nマジ超ウマ！
美凪 ささら: このソース\n絶妙に甘辛くて美味しい！
竜城 明日香: それがふわっふわの卵と\nチキンライスに合いますね！
美凪 ささら: どことなーく\nエスニックな感じがして…
竜城 明日香: でも洋食の一線は\n守っています！
木崎 衣美里: つーことで超ウマ！\n激ウマ鬼マックス！
美凪 ささら: これのどこに問題が\nあるっていうの!?
胡桃 まなか: このメニュー自体は\n自信もあります…
胡桃 まなか: ですが…
胡桃 まなか: 果たしてウォールナッツに\n相応しいメニューでしょうか？
美凪 ささら: 相応しいか…どうか？
胡桃 まなか: この店には伝統があります\n守るべき伝統が…
胡桃 まなか: 少しは冒険もします\nですが、これは自分でも…
竜城 明日香: 伝統からはみ出しすぎている\n…と？
胡桃 まなか: はい…
竜城 明日香: なるほど…\n伝統の重みは私も分かります…
美凪 ささら: そうか…それを考えると\n躊躇しちゃうか…
胡桃 まなか: こういうのは…やはり…
木崎 衣美里: …うーん…

---[Section 4] (Source: 330062-4.json) ---
木崎 衣美里: …うーん…
木崎 衣美里: いんじゃね？別に
胡桃 まなか: え…？
美凪 ささら: 衣美里ちゃん\nそれってどういう…
木崎 衣美里: いやだってさ\nこれ、超ウマじゃん！
木崎 衣美里: あーし、大好きだよ\nこの味！気に入り気に入り！
竜城 明日香: でも\nウォールナッツの伝統が…
木崎 衣美里: 超ウマだから、他の人にも\n食べてもらいたいじゃん
木崎 衣美里: なんつーか\n美味しいものは美味しいからさ…
木崎 衣美里: いーんじゃない？細かいことは！\nメニューに出しちゃいなよ！
木崎 衣美里: 勢い重視っしょ！\n行っちゃえ行っちゃえ！
美凪 ささら: …なんか、色んなこと\nすっ飛ばしてるけど…
胡桃 まなか: …………
胡桃 まなか: …そうですよね
竜城 明日香: え？
胡桃 まなか: そうですよね！
胡桃 まなか: やっぱり\n伝統に縛られているだけでは…
胡桃 まなか: チャレンジしなくては\n逆に店も守っていけません！
胡桃 まなか: これ、お父さんに\n提案してみます！
胡桃 まなか: ありがとうございます！\n背中を押してくれて！
胡桃 まなか: よーし！\n燃えてきましたー！
木崎 衣美里: いーねいーね！\nドキドキしてきたっしょ！
胡桃 まなか: してきました！
木崎 衣美里: あーしもつられてドキドキ！\nたのしーね！
美凪 ささら: …やっぱり衣美里ちゃん…
竜城 明日香: …はい
竜城 明日香: …これは、間違いありません！
竜城 明日香: 衣美里さん！
木崎 衣美里: ん？なーに？
竜城 明日香: あなたなら、迷える人々を\n救えるかもしれません！
木崎 衣美里: ん～？\nどゆこと？
竜城 明日香: 担がせてください…\n木崎衣美里という神輿を！
木崎 衣美里: んん～？\nおみこし？
木崎 衣美里: …………
木崎 衣美里: お祭りやるの？
木崎 衣美里: なーんでこんなことになってん\nだろ。まーいいけどさー…
