
--- [Section 1] (Source: 510603-1.json) ---
まどか＆さやか: …えっ？
キュゥべえ: 魔法少女になる以上\n物理的に消滅はしないだろうけど
キュゥべえ: キミの存在は、両親の記憶からも\n公的な記録からも消滅して
キュゥべえ: たったひとりで生きていくことに\nなるかもしれないね
マナツ: でも、願いは叶うんだよね？
キュゥべえ: そのことは保証するよ
キュゥべえ: ただしそれは、数年後のことだ
キュゥべえ: それまでに\nキミが死んでしまったら
キュゥべえ: 結果を確かめることは\nできなくなるけれど…
マナツ: マナツは、それでもいい…！
旁白: 「“地球からのメッセージ”プロジェクトは\n本日をもって解散です！」
旁白: 「みなさん、本当におつかれさまでした！」
マナツの父: ふぅ…
マナツの父: これで天文台とも\n研究職ともお別れだな
マナツの母: ええ、おたがいね
マナツの母: でも、最後に\n夢のある仕事ができてよかったわ
マナツの父: 天文台の通信設備を\nやっと使わせてもらえたのは
マナツの父: 天からのはなむけってところかな
マナツの母: ふふふっ
旁白: ～～♪～～♪
マナツの母: はい…ええ\nふたりとも、おりますけれど？
マナツの母: え…？\nでも、そんな急に…？
マナツの母: わかりました、伝えておきます
旁白: ピッ
マナツの父: なんだって？
マナツの母: 所長からよ！\nふたりで天文台に残らないかって
マナツの父: なんでまた、急に…
マナツの母: 天文台の拡張が決まって\n予算も人も増えるらしいの
マナツの母: 正規のポストを用意するし\n待遇は格段によくなるそうよ
マナツの父: 奇跡みたいな話だな…

--- [Section 4] (Source: 510603-4.json) ---
杏子: …で、それと引き換えに
杏子: アンタは両親の記憶から消えて\n赤の他人になっちまったわけか
マナツ: …うん
マミ: …………
杏子: …で、絶望して\n魔女になったわけだ
なぎさ: …そ、そうなのですか？
マナツ: うん、その通りだよ
マナツ: この結界にいる、見えない魔女は\nマナツから生まれた魔女
なぎさ: みんなの記憶からも消えて\n魔女になっても姿を隠して…
なぎさ: …マナツはそれでいいのですか？
マナツ: …わからない\n今のマナツは、ただの幻だもの
マミ: 私たちが見た正夢…\nあれは何だったのかしら？
マナツ: なぎさちゃんも\nお姉ちゃんたちも
マナツ: マナツの夢に出てきた子たちと\nそっくりだからだよ！
杏子: 待てまて…つまり\nアンタが何年も前に見た夢に
杏子: あたしやマミだか\nよく似た他人だが出てきて
杏子: アンタがその夢が現実になるよう\n願ったせいで…
杏子: その願い事の実現を\n手伝わされてるってことか？
マミ: …そういうことみたいね
マミ: あの夢を見た時点で
マミ: 願い事の魔法に\n巻き込まれていたのよ
なぎさ: ほむらの夢も、ゾンビの夢も\n正夢になったのです！
杏子: マジかよ…\nあたしの夢はまだなんだけど…
マミ: よくわからないのは…\nウォーターパークそのものが
マミ: 魔女の結界に取り込まれた\n理由なんだけど…
杏子: 大勢の人間を巻き込むには\n手っ取り早いやり方だろ
マミ: 願いが叶う過程で、そこにあった\n魔女の結界が使われた…
マミ: ということ…？
マナツ: たぶん…そうかも
マミ: だとすると…
マミ: 願いの魔法が働いている間は\nみんなは安全ということかしら？
杏子: …そうか
杏子: だからこれだけ人間を捕まえても\n魔女が手出ししてこないのか
マミ: ええ
マミ: …願いが叶うまでは、ね
杏子: …………
マミ: 佐倉さん、なぎさちゃん
マミ: マナツちゃんの願いを叶えるのを\n手伝ってあげましょ？
なぎさ: …………
なぎさ: なぎさはかまわないのです！
マナツ: いいの？
杏子: …仕方ないか
杏子: このままじゃ誰も\n結界から出られないだろうしな
マナツ: …ありがとう\nお姉ちゃんたち！
マナツ: なぎさちゃん、ごめんね…\n変な目に遭わせちゃって
マナツ: なぎさちゃん、さよなら
マナツ: …ありがとね
杏子: やっと戻れたか…
なぎさ: これで…マナツとは\nお別れなのですか？
マミ: …そうみたいね
マミ: …………
マミ: ねえ、なぎさちゃん
なぎさ: どうしたのですか？
マミ: マナツちゃんが最初にね
マミ: なぎさちゃんにだけ姿を見せた\n理由なんだけど…
マミ: もしかして
マミ: 同い年くらいの友だちが\n欲しかったんじゃないかしら？
杏子: いや、さっきのアレは幻だぞ？
杏子: それも願い事のせいだよ
杏子: なぎさの記憶を塗り替えてでも
杏子: マナツの一家となぎさが\n知り合いになんなきゃ
杏子: 夢の通りにコトが運ばない…\nそれだけの理由だろ？
マミ: …そうかもしれないわね
マミ: でも…みんなに忘れられて\nずっと寂しい思いをして
マミ: 誰かひとりくらい\n自分のことを知ってる友だちが
マミ: 欲しかったんじゃないかって\nそう思えたのよね
なぎさ: なぎさには\nよくわかりませんが…
なぎさ: マナツはやっぱり\nいい子だったのです！

--- [Section 5] (Source: 510603-5.json) ---
まどか: マミさんたち！\n無事でよかった！
さやか: 何があったんですか？
マミ: 話すと、長くなるんだけど…
さやか: …つまり、ここは\n見えない魔女の結界の中で
さやか: あたしたちが見た例の正夢も
さやか: 今は魔女になった\nマナツって子の願いが
さやか: 引き起こしていたってこと…？
ほむら: 証拠は充分だと思う
ほむら: ６人のうち４人の夢が\nすでに現実になってるから
マミ: …このまま
マミ: マナツちゃんの願いを\n遂げさせてほしいの
まどか: みんなに忘れられて…\n魔女になっちゃって…
まどか: せめて願いだけは\n叶えてあげたいですよね
さやか: …でも、大丈夫なわけ？
さやか: 今は願いの魔法のおかげで\n魔女も襲ってこないけど
さやか: 願いが叶ったあとは…
マミ: …ええ\n戦って倒す必要があるでしょうね
まどか: …………
杏子: 本当にできるんだろうな？
マミ: …覚悟は決めているわ
杏子: …………\n…………
さやか: 辛い戦いになりそうだけど…\n確かに願いは叶えてあげたいね
マミ: ありがとう
まどか: でも、何をすればいいのかな…？
なぎさ: ほむらは予知夢をヒントにして\n行動したのです
さやか: なぎさのSOSメッセージは\nただの打ち間違いと送信ミスよね
杏子: どう転んでも\n現実になるってことじゃねーか！
マミ: 残る予知夢は\n佐倉さんの夢と、私が見た夢ね
ほむら: 魔法少女が願った奇跡は\n必ず実現するはずだから
ほむら: 「実現するかどうか」よりも\nその途中で
ほむら: 誰かが危ない目に遭わないように\n注意した方がいいと思います
マミ: マナツちゃんの一家は\n見守っておきたいわね
マミ: なぎさちゃんはまた\n妹さんと遊んであげて
マミ: 危ないことがあったら\n守ってあげてほしいの
なぎさ: はいなのです！
まどか: わたしたちも！
さやか: なぎさだけじゃ頼りないしね
マミ: お願いするわ
さやか: 杏子は今のうちに
さやか: おめあての限定駄菓子ショップに\n行っときなよ
マミ: 少しなら、私もつきあうわよ
杏子: 一家から目を離して\nいいのかよ？
マミ: まだまだ先は長いから\n根を詰めるのはよくないわ
マミ: 私が見た夢は\n夜の花火だったんだから
杏子: …夜までこの状態が続くわけか
マミ: 心配ないわ
マミ: 頼れる後輩が４人も\nついているんですもの
