
--- [Section 1] (Source: 101405-1_XyQZg.json) ---
忧的幻影: 想改变命运就到神滨市来，\n在这座城市里魔法少女能得到救赎。
鹤乃: 嘿，好嘞！

--- [Section 6] (Source: 101405-6_XyQZg.json) ---
菲莉希亚: （很好……就这样悄悄溜进去）
菲莉希亚: （我就能自己一个人\n把传闻哐当解决掉！）
鹤乃: 菲莉希亚！\n你打算自己抢先去对付传闻吧！
菲莉希亚: 哇，干嘛啦！
菲莉希亚: 别说破啊笨蛋！
鹤乃: 在这种时候，\n同伴间互相配合是很重要的！
菲莉希亚: 哈？配合？\n你说什么呢，麻烦死了。
菲莉希亚: 就让我一个人\n把敌人哐哐打倒不是更好吗！
杏子: 我也觉得这家伙的行动很合理哦？
杏子: 这里就交给那个叫八千代的好了。
杏子: 我们就趁乱先到里面去，\n这也算是互相配合吧？
杏子: 而且，说不定解开不幸的诅咒\n还有次数限制。
鹤乃: 你瞧，结果不还是为这个嘛！\n这是自我中心，利己主义！
鹤乃: 魔法少女是作为正义的伙伴\n为了大家而战斗的！
鹤乃: 为此才要成为最强！
菲莉希亚: 你好吵啊！都这会儿了，\n大家什么的怎样都好吧？
杏子: 话说你干嘛一个人吵吵嚷嚷的……
鹤乃: 因为吵起来比较好，所以吵起来！
杏子: 哈！？你在说什么啊？
鹤乃: 啊，真是的！\n少废话，大声吵起来吧！
杏子: 等等，我不明白啊！

--- [Section 7] (Source: 101405-7_XyQZg.json) ---
八千代: 现在这种状况，\n鹤乃还在吵什么呢……？
彩羽: 菲莉希亚也是……\n这种时候在干什么呢……
月夜: ……
月咲: ……
彩羽: （那两人的表情变得凝重了……）
彩羽: 啊……
八千代: 啊……
八千代: 助手你也注意到了？
彩羽: 是的！鹤乃在帮我们！
八千代: 嗯，真的很能干！
鹤乃: 哇————————！！
菲莉希亚: 嗷啊啊啊啊啊啊啊！！
杏子: 啊————————！！
杏子: 哈啊……哈啊……
杏子: 叫我吵闹起来，\n到底是要我干什么……？
鹤乃: 嘿，再吵大声一点！\n不要停下！！
杏子: 你至少解释一下啊！
鹤乃: 这是为了盖住回音哦——！
杏子: 什么，原来是这样吗！\n那你早说啊！

--- [Section 8] (Source: 101405-8_XyQZg.json) ---
八千代: 在鹤乃她们喊破喉咙前\n干掉对手吧！
八千代: 我会一口气冲上前去——
彩羽: 我在后方支援你！
八千代: 拜托你了！
彩羽: 好的！
月咲: 我们的优势被瓦解了。
月夜: 她们竟然这样蛮干……\n真是出乎意料……
月咲: 怎、怎么办？
月夜: 只能正面迎敌了……

--- [Section 9] (Source: 101405-9_XyQZg.json) ---
月咲: 月夜！
月夜: 好的，趁现在……！
八千代: 太天真了！
月夜: 啊……！
月咲: 月夜！！
八千代: 平常太依赖笛子攻击，\n一旦离开，就会陷入不利呢。
月咲: 呜，七海八千代！
彩羽: 危险！
月咲: 唔呜……！
彩羽: 哈啊……还有我在呢……
八千代: 谢谢你，环。
彩羽: 嗯！
八千代: 这样形势就逆转了……
八千代: 继绝交守则、言灵神社之后，\n接着是不幸清水——
八千代: 就这样让我们一个个消灭掉吧！
月夜: 呜……
月咲: 我们不会就此倒下的……
月夜: 玛吉斯三位大人交付的职责……
月夜: 我们是不会放弃的……
彩羽: 你们最好就此罢手，
彩羽: 你们的灵魂宝石……\n已经没有魔力了……
月夜: 呵呵呵……
彩羽: 有、有什么好笑的？
月夜: 这样正好呢……
月咲: 嗯，对我们来说正好。
月夜: 没错——
彩羽: 诶？
八千代: 竟然说灵魂宝石被彻底污染\n对她们来说正好……
八千代: 难道你们……
月夜: 你们可真是幸运啊。
月咲: 尽管不幸，却又如此幸运。
月咲: 毕竟，你们即将目睹的是——
月夜: 神滨作为“<red>解放之地的证据</red>”——

--- [Section 10] (Source: 101405-10_XyQZg.json) ---
鹤乃: 八千代！难道她们两个！
八千代: 嗯，跟环当时一样，\n她们准备召唤出那个——
鹤乃: 好啊！彩羽你也召唤一下！
彩羽: 突然让我召唤，我也做不到啊！
八千代: 能做到也不行！
八千代: 那种让灵魂宝石彻底充满污秽后\n使用的技能，
八千代: 只会让人觉得不祥……

--- [Section 11] (Source: 101405-11_XyQZg.json) ---
彩羽: 唔、唔唔……
八千代: 环……你没事吧？
彩羽: 没、没事，我还好……\n虽然身上都是伤……
八千代: 之前是被环召唤出的那个东西所救，
八千代: 现在变成了敌对方，\n真是够难受的……
杏子: 你也曾经召唤出那个吗？
彩羽: 是、是的……
杏子: 原来如此……
杏子: 麻美所说的人形魔女\n原来就是你啊……
杏子: 真是的，我只觉得这东西很糟糕……
彩羽: 你说的麻美……
麻美: 我叫“<red>巴麻美</red>”，\n是见泷原的魔法少女哦。
彩羽: 你认识她呀？
杏子: 也算是认识吧。
彩羽: 唔……
杏子: 我叫“<red>佐仓杏子</red>”。
彩羽: 佐仓你也觉得我是人形魔女吗？
杏子: 不，说实话，我不认为你是魔女。
杏子: 虽然把这称为新技能\n我也没法接受……
月夜: 没错，这不是新技能，也不是魔女。
月咲: 嗯嗯，我们召唤出来的这个\n正是魔法少女能在神滨市得到拯救的
月咲: <red>解放之证</red>。
杏子: 就算你们这么说，\n我还是听不明白。
月夜: 这是情感的投影，\n是自我解放之物。
月咲: 所以我们把它称为“<red>魔女化身</red>”哦。
月夜: 没错。
八千代: 你是说，解放出来的自我就是\n“<red>解放之证</red>”……？
月咲: 你应该明白的吧？
月夜: 我觉得七海八千代你，应该能理解哦？
月咲: 没错——
月咲: 要证明很简单哦。
月夜: 我们的灵魂宝石\n得到了完美的净化。
彩羽: 啊，跟我当时一样……
月咲: 你也跟我们一样\n召唤出了<red>魔女化身</red>吧？
彩羽: 是的……
彩羽: 那个，所谓的解放……
彩羽: 就是指不使用悲叹之种\n也能净化灵魂宝石吗……？
月夜: 你果然还是无知啊。\n这样也好……
月咲: 就让我们来告诉你吧。
八千代: ——！？
八千代: 没那个必要！
八千代: 不，应该说……
八千代: 我们不会浪费时间听你们废话的。
月咲: 在这种状况下你还想对付传闻吗？
月夜: 作为老手却无法正确判断现状，\n真是滑稽至极。
月咲: 没错——
月夜: 不过，你的滑稽样真是\n让我们长见识了呢。
月夜: 来吧，想通过这里\n就赌上性命放马过来吧。
黑翼: ……
彩羽: 还有别的漏网之鱼！？
彩羽: 八、八千代，这个！
八千代: 还剩30分钟……\n已经没多少时间了……
八千代: 加快速度解决掉她们！
杏子: 事情变得越来越麻烦了。
杏子: 真是的，区区一个传闻竟然\n牵扯出这么麻烦的局面……
杏子: 这真是个奇怪的城市……

--- [Section 12] (Source: 101405-12_XyQZg.json) ---
八千代: 环你去牵制那些穿黑袍的人！
八千代: 这对姐妹就由我和鹤乃来对付！
彩羽: 好的！
鹤乃: 好！
八千代: 菲莉希亚确保让环所牵制的敌人\n失去反击之力！
菲莉希亚: 我不太擅长控制力道，\n不过让她们躺倒的事就交给我吧！
杏子: 等一下！
菲莉希亚: 哇，干嘛？
菲莉希亚: 放手啦，红发大姐姐！
杏子: 喂，我们还是按刚才说的办吧。
菲莉希亚: 啊啊？
杏子: 剩下的时间只有30分钟。
杏子: 我的意思是，现在全员上阵\n跟她们战斗只是浪费战力。
菲莉希亚: 可是，八千代让我过去\n揍倒她们啊。
杏子: 一码归一码，
杏子: 多考虑考虑自己呀！
杏子: 你也不想让不幸降临的吧？
菲莉希亚: 嗯，不想。
杏子: 那这里就交给她们去解决吧。
杏子: 你跟我一起\n去干掉那个传闻。
杏子: 而且，这也是继续你刚才\n没做成的事吧？
菲莉希亚: 这样啊……
菲莉希亚: 你说得没错！
杏子: 好的，事不宜迟，
杏子: 找机会溜过去吧。
菲莉希亚: 好！
八千代: 菲莉希亚！\n你在干什么，快来啊！
八千代: 菲莉希亚！！
八千代: 什么！
八千代: 她……和佐仓！？
月咲: 居然有闲暇分心，\n我们被小看了呢，月夜！
月夜: 等一下月咲！
月咲: ——！？
月夜: 那两个人……\n往传闻的方向去了！
八千代: 趁现在！

--- [Section 13] (Source: 101405-13_XyQZg.json) ---
八千代: 对方居然也分心了，\n看来我们也被小瞧了呢。
鹤乃: 没错，八千代师父！
月夜: 糟了！
月咲: 月夜！

--- [Section 14] (Source: 101405-14_XyQZg.json) ---
月夜: 啊啊啊啊啊！！
八千代: 你挨了我的全力一击。
月夜: 呜……
八千代: 就算你有魔力，脚受了伤\n就无法行动自如了吧？
月夜: 呜……真是残暴……
八千代: 这可不是想用<red>魔女化身</red>杀了我们的人\n有资格说的话吧。
月咲: 唔……哈……！
鹤乃: 抱歉啦，被刺中那里，\n你应该会呼吸困难一段时间。
鹤乃: 忍耐一下吧！
八千代: 环，趁现在快走！
彩羽: 诶，可是！
八千代: 现在这里有我和鹤乃就足以应付了。
鹤乃: 毕竟这次的受害者是你们呀！
鹤乃: 加油！
菲莉希亚: 彩羽，你也来吧！
杏子: 你干嘛自作主张！
彩羽: 菲莉希亚……
彩羽: 好的……
彩羽: 八千代，鹤乃，\n那边就拜托你们了！
