
--- [Section 1] (Source: 340322-1.json) ---
旁白: あむっ！
？？？: 「あーーーーー!!」
日向 茉莉: な、なに!?
日向 茉莉: （元気そうな子…）
日向 茉莉: （だけど…気になる…\nなんで、この子…）
日向 茉莉: （扇風機を\n抱えてるんだろう…）
毬子 あやか: これ、どこにあったの!?\nこのヘッドドレス！
日向 茉莉: え、こ、これ!?\n貰い物なんだけど…
毬子 あやか: どこに売ってるか、わかる!?
日向 茉莉: う～～ん、ちょっとマツリには…
矢宵 かのこ: 発注したみたいだし、神浜で\nおいそれと買えないものかもね
毬子 あやか: そっかぁ～…
日向 茉莉: 深刻そうだけど、\nなにかあったの…？
毬子 あやか: 実は、そのヘッドドレスが\n必要なんだよ…
毬子 あやか: お笑いのネタに！
日向 茉莉: お笑いのネタ…
毬子 あやか: 元々ね、このサーキュレーターを\n使ったネタを予定してたんだけど
毬子 あやか: 「区内お笑いコンテスト」が\n開催される会場では
毬子 あやか: 電源を使えないって\nことが発覚して…
日向 茉莉: ネタが\nできなくなっちゃったんだ！
毬子 あやか: そう、だけど\nあきらめかけていた今！
毬子 あやか: あなたのこれを見つけて\n色んなイメージがわいたの！
毬子 あやか: 優勝してインタビューを受ける\nところまで想像できたよ！
毬子 あやか: 今は脳内で祝杯をあげてる！
日向 茉莉: 祝杯…
毬子 あやか: でもそっか…\n貰い物か…
日向 茉莉: …………
日向 茉莉: よければ、あげようか？
毬子 あやか: そのヘッドドレスを…!?
毬子 あやか: いいの!?
日向 茉莉: うん！\nコンテスト頑張ってね
毬子 あやか: ありがとう！\nお礼にサーキュレーターあげる！
矢宵 かのこ: いや、さすがに\nそれを持って運ぶのは…
日向 茉莉: ありがとう！
矢宵 かのこ: えっ!?
毬子 あやか: 私の一発限りの相方だよ！\nネタもあげよう！
日向 茉莉: 相…方…
日向 茉莉: まさか…\nそのさーきゅれーたーで…
日向 茉莉: 腹話術を…？
毬子 あやか: 正解！
毬子 あやか: じゃーねー！
矢宵 かのこ: ネタ…貰っちゃったね…
日向 茉莉: 世界は広いね
日向 茉莉: うーん\n結構重いかも…
矢宵 かのこ: だから止めようとしたのに…
矢宵 かのこ: ネタもたい焼きとは無関係だし\nせっかくの願掛けも…
日向 茉莉: きのこの時のようには\nいかないねー
矢宵 かのこ: でも最後にちょっとだけ\n気になること言ってたね
毬子 あやか: 神浜のおいしいたい焼き？
毬子 あやか: う～ん…………
毬子 あやか: あ！
毬子 あやか: たしか…
毬子 あやか: 「気絶しちゃうほどのたい焼き」\nっていうのは、聞いたような…
毬子 あやか: 誰から聞いたんだっけ…\nクラスの子じゃないような…
毬子 あやか: じゃあ…雫ちゃん…？
毬子 あやか: う～ん…ダメだ！\nそれ以上は思い出せないや
日向 茉莉: うん…
日向 茉莉: そこに、マツリたちの求める\nものがあるはず…！

--- [Section 3] (Source: 340322-3.json) ---
日向 茉莉: あむっ！
日向 茉莉: うん！おいしい！
矢宵 かのこ: 並んだ甲斐はあったね！
日向 茉莉: でも…
矢宵 かのこ: うん…
日向 茉莉: 「神浜に来た記念」には、\nまだちょっと遠いかも…
矢宵 かのこ: そっかぁ…
矢宵 かのこ: しかし、そうなると\n他のアテもないしなぁ…
矢宵 かのこ: ん？
矢宵 かのこ: あれは…
矢宵 かのこ: ひなのさんだ！
日向 茉莉: お知り合い？
矢宵 かのこ: うん、顔も広いから\nなにか知ってるかも！
矢宵 かのこ: おーい！ひなのさーん！
都 ひなの: …おお、かのこじゃないか\nと、もうひとりは？
日向 茉莉: 日向マツリだよ、よろしくね
都 ひなの: なんか、すごい荷物だな
矢宵 かのこ: 実はこの子と遊んでる間に\n色々とありまして…
都 ひなの: その結果、サーキュレーターを\n運んでるって、何があったんだ
木崎 衣美里: わかった！
木崎 衣美里: 先輩と賭けをした\nメイドさんにシュシュあげて
木崎 衣美里: そのお礼に手作りの\nサーキュレーター貰ったんだ！
日向 茉莉: 全然違うような…\nあっているような…うーん…
都 ひなの: わからん
都 ひなの: でも、これは運命の\n巡り合わせかもしれない
木崎 衣美里: みゃーこ先輩、これはワンチャン\nいけるかもしれないっしょ
矢宵 かのこ: ワンチャン？
都 ひなの: ああ…
都 ひなの: 実は明日の子ども向け科学教室で\n扇風機が必要だったんだが
都 ひなの: アタシの家にも\n衣美里の家にもなくてな
都 ひなの: ちょうど、予算も涸渇していて\n考えあぐねていたところなんだ
木崎 衣美里: そこで、ここはいっちょ\nあーしらにサーキュレーターを
日向 茉莉: いいよ！
矢宵 かのこ: 今回決断早いね
日向 茉莉: 困っている人は見過ごせないもん
矢宵 かのこ: まぁ、そうね
都 ひなの: い、いいのか!?\n確かに、１回の教室のために
都 ひなの: 新品の扇風機を買うのは\nもったいないとは思ってたんだ…
都 ひなの: いや、助かるよ\nそれなら遠慮なく…
日向 茉莉: 今ならついでに\nコレを使ったネタも！
都 ひなの: ネタ…？
日向 茉莉: うん、お笑いの…
都 ひなの: …………い、いい…\nそっちは遠慮する…
都 ひなの: ただ、多少は何か支払わないと\nさすがに悪い
都 ひなの: そうだ、お礼に…\nこんなものでよければ…
日向 茉莉: これは…？
都 ひなの: 特製の食器用洗剤だ\n先日の実験教室で作った
都 ひなの: 子どもが作れるものだと\nあなどっちゃあいけない
都 ひなの: 油汚れに特化している
日向 茉莉: わぁ！なんかすごそう！\nありがとうございます！
都 ひなの: おっと、こうしてる場合じゃない\nさっそく準備しないと
都 ひなの: じゃあ、アタシらはこれで
木崎 衣美里: 神浜観光、楽しんでねー！
日向 茉莉: うんっ！
矢宵 かのこ: …って違う違う！\nあれ聞かないと！
日向 茉莉: そうだった！
都 ひなの: なんだ？
日向 茉莉: えと、オススメのたい焼き屋さん\nってあるかな？
都 ひなの: たい焼き…お前たちもか…\n…やっぱり、流行ってるのか…？
矢宵 かのこ: 『お前たちも』…？
都 ひなの: いや、何人かの魔法少女が\nたい焼きを話題にしててな…
木崎 衣美里: せっかくだしネタももらえば\nよかったのに
都 ひなの: いらん
木崎 衣美里: そうだ、腹話術とかやろうよ！
都 ひなの: やらん
日向 茉莉: 洗剤…
矢宵 かのこ: 食事関連になったね！
日向 茉莉: うん、すごいよ\nさーきゅれーたー！
日向 茉莉: さすが元相方！\nよーし次の目的地へ…
矢宵 かのこ: …………
日向 茉莉: どうしたの？\nかのこちゃん
矢宵 かのこ: いや、マツリちゃんは\nなんでも楽しめるんだなーって
日向 茉莉: …変かな？
矢宵 かのこ: ううん…\nいいと思う
日向 茉莉: そっかありがと
日向 茉莉: ちょっとはしゃぐのは\n止められないかもね…
日向 茉莉: それが、夢だから…

--- [Section 4] (Source: 340322-4.json) ---
日向 茉莉: それが、夢だから…
矢宵 かのこ: 夢…？
日向 茉莉: うん、夢！
日向 茉莉: 色んなところに行って\n色んなものを見て
日向 茉莉: いろーんな人に会うのが\n夢なんだ！
矢宵 かのこ: …………
矢宵 かのこ: もしかしてそれは…\n願いに関する…
日向 茉莉: 直接じゃないけどね…
日向 茉莉: マツリ、目が見えなかったの
日向 茉莉: だから、キュゥべえが現れた時\nお願いしたんだ
日向 茉莉: 目を見えるようにして欲しいって
矢宵 かのこ: ごめん、踏み込んだことを…！
日向 茉莉: えっ？\nあっ、気にしないで！
日向 茉莉: 元々、見えてなくても\nみんな優しくて楽しく生きてたし
日向 茉莉: 不幸と思ったことはなかった
日向 茉莉: ただ、いつまでもみんなの\nお世話になるわけにもいかないし
日向 茉莉: せっかくだからってことで\nお願いしたんだし
矢宵 かのこ: そっか\nじゃあ、その夢っていうのは…
日向 茉莉: 願いが叶ったおかげで\n初めてわかったんだ
日向 茉莉: 自分がどんな顔なのか…\n周りの人がどんな顔なのか…
日向 茉莉: 太陽がどれだけまぶしいのか\n海がどれだけ透明なのか
日向 茉莉: 全部、知らなかったんだって…\n知らずに生きてきたんだ、って…
矢宵 かのこ: よし！わかった！\n行こう！色んなとこ！
矢宵 かのこ: 神浜には、まだまだ\n変なところいっぱいあるから
日向 茉莉: そうなんだ！\n楽しそう！
日向 茉莉: う～ん…でも…
日向 茉莉: どこに行けばいいんだろうねぇ…
矢宵 かのこ: …………
矢宵 かのこ: （こんな話聞いちゃったら…）
矢宵 かのこ: （なんとしてでも「記念の\nたい焼き」を見つけてあげたい）
矢宵 かのこ: （もっとちゃんと考えないと…）
矢宵 かのこ: （私のそこまで多くない\n神浜知識をフル活用して…）
矢宵 かのこ: （神浜ならではのものを…）
矢宵 かのこ: …………
矢宵 かのこ: そうだ!!
日向 茉莉: どうしたの!?
矢宵 かのこ: 調整屋さんに行こう！
日向 茉莉: 神浜って不思議なところだね\n他にもいろいろありそう
