
--- [Section 1] (Source: 330052-1.json) ---
旁白: 私たちを結びつけた魔女…
旁白: 私は、自分が知りうる情報を\n皆さんに伝えました
純 美雨: 私を軸にして\nフォローしながらの戦い方を…
純 美雨: その的確なさばき方\n見事だたヨ…
純 美雨: だから認めるヨ…\n策を仰ぐに相応しい人物だとネ
常盤 ななか: ありがとうございます\n美雨さん…！
志伸 あきら: ななか！
常盤 ななか: 認めていただけて\n嬉しいです
純 美雨: …今後とも\nよろしく頼むネ
常盤 ななか: はい、もちろん！
夏目 かこ: はぁ～！\n良かったです～！
常盤 ななか: …ただ…
志伸 あきら: …え？
夏目 かこ: ま、まだ何か…？
常盤 ななか: …はい…
常盤 ななか: …まだ、終わりじゃないんです
志伸 あきら: えぇ～!?
夏目 かこ: そんなぁ！\nどういうことですか…!?
純 美雨: 魔女は倒したヨ…!?
常盤 ななか: 確かに倒しました…
常盤 ななか: ですが、実は…
常盤 ななか: この街には、いたるところに\n病巣がありそうですわね…
