
---[Section 1] (Source: 324022-1.json) ---
丘比: 请和我签订契约\n成为魔法少女吧
沙耶香: 其实不这么着急也没事的…诶\n已经这个时间了？
咲笑: 是啊，所以得赶快了
咲笑: 否则就没办法探望了吧？
咲笑: 好了，快把制服换下来\n一路顺风！
沙耶香: 好、好的！
咲笑: 还有，小沙耶香…
沙耶香: 怎么了…？
咲笑: 加油！我会为你应援的！
沙耶香: 诶…？\n…应援什么啊？

---[Section 3] (Source: 324022-3.json) ---
沙耶香: 诶
沙耶香: 恭介的检查还没结束吗？
护士: 是啊，因为顺序推迟了\n所以开始时间也晚了
护士: 所以，请你在这里\n再等他一小会吧
沙耶香: 好的，我会的
沙耶香: （把蛋糕和CD放在桌子上…）
护士: 哎呀，好漂亮的盒子\n是带来探望的蛋糕吗？
沙耶香: 是的…\n莫非不能带蛋糕吗？
沙耶香: 他马上就要出院了\n我听说没有什么饮食上的限制…
护士: 虽然吃也没问题
护士: 但上条同学用不了左手\n吃起来应该很困难吧
护士: 所以让他张开嘴喂他吃\n说不定会更好呢
沙耶香: …诶诶诶！？
护士: 哎呀，我该走了！
护士: 如果想喝茶的话\n就去开水房打点水吧
护士: 我这就去告诉上条同学\n可爱的女朋友
护士: 正在和蛋糕一起等他哦！
沙耶香: 诶，女…女朋友！？
护士: 那就请慢用吧
沙耶香: 啊…等等…！\n…走掉了
沙耶香: 怎么办…？\n被她那么一说
沙耶香: 我好像很容易被人误会成\n带来了个不得了的蛋糕啊…
沙耶香: 虽然Recompense的蛋糕\n确实很好吃
沙耶香: 但今天带来的\n是我自己做的…
沙耶香: …………\n…………
沙耶香: 开始有点不安了…
沙耶香: 虽然咲笑小姐说过\n做得很可爱
沙耶香: …看上去应该不会奇怪吧？
沙耶香: 在交给恭介之前\n还是再确认一遍吧
沙耶香: （轻轻地…\n把蛋糕盒打开…）
旁白: 啪咔
沙耶香: —沙耶香—\n啊…！
沙耶香: —沙耶香—\n…上面写的是“love”？\n为什么！？
沙耶香: —沙耶香—\n怎么办！？\n留言牌放错了！

---[Section 4] (Source: 324022-4.json) ---
沙耶香: —沙耶香—\n怎么办！？\n留言牌放错了！
沙耶香: 这样不就完全\n是个告白蛋糕了吗！
沙耶香: （为什么变成了这个牌子啊…？）
咲笑: 留言牌差不多做好了吧？
沙耶香: 是的，总算做好了…！
咲笑: 做了好几种呢\n你打算用哪个？
沙耶香: 就用最后做的这个…
旁白: 铛啷铛啷
咲笑: 啊，欢迎光临
沙耶香: 我去带客人入座！
沙耶香: （当时正好来了客人）
沙耶香: （我好像没表达清楚\n要用哪个牌子…）
沙耶香: 说起来，我离开店里之前\n咲笑小姐好像说了些奇怪的话吧
咲笑: 还有，小沙耶香…
沙耶香: 怎么了…？
咲笑: 加油！我会为你应援的！
沙耶香: 诶…？\n…应援什么啊？
沙耶香: 那是因为她误会了\n以为我要把
沙耶香: 带着“love”留言的蛋糕\n送给恭介吗？…？
沙耶香: …不不，现在可不是\n该考虑原因的时候
沙耶香: 在恭介回来之前\n必须想个办法解决…！
沙耶香: 我已经告诉了恭介\n会带蛋糕过来
沙耶香: 所以也不能不给他
沙耶香: 要把留言牌拿下来吗…？
沙耶香: 啊，不行\n那样会留下痕迹的
旁白: 咔哒，咔哒…
沙耶香: （诶…\n走廊上传来了脚步声）
护士的声音: 上条同学的检查\n马上就要结束了哦
护士的声音: 啊，那我就去叫下一个人了
沙耶香: ――！？
沙耶香: （糟了，糟了！\n恭介要回来了！）
沙耶香: （呜呜…陷入绝境了！）
沙耶香: 怎么办\n有没有办法跨越危机…？
沙耶香: （也没有时间和材料\n重做一遍留言牌了…）
沙耶香: …………\n…………
沙耶香: …对了！
沙耶香: 虽然不知道能不能成功…\n但总之去趟开水房吧！
沙耶香: 我就说咲笑小姐\n怎么那么干劲十足的样子…
